,profiles,kw,count
0,ZelusWallet,Solana,3
1,,dress,3
2,,Mobile,2
3,,Chapter,2
4,,Preorders,2
5,,company,2
6,,announced,2
7,,price,2
8,,point,2
9,,MIT,2
10,,Ministry,2
11,,Supply,2
12,,wearing,2
13,,Apple,2
14,,err,2
15,,Two,1
16,,Sold,1
17,,Labs,1
18,,yes,1
19,,blockchain,1
20,,started,1
21,,released,1
22,,Saga,1
23,,smartphone,1
24,,meh,1
25,,reception,1
26,,week,1
27,,lower,1
28,,version,1
29,,Unveil,1
30,,Shape,1
31,,Shifting,1
32,,soon,1
33,,thanks,1
34,,clothing,1
35,,Self,1
36,,Assembly,1
37,,Lab,1
38,,unveiling,1
39,,groundbreaking,1
40,,made,1
41,,heat,1
42,,sensitive,1
43,,yarn,1
44,,part,1
45,,VR,1
46,,AR,1
47,,Spatial,1
48,,Computer,1
49,,approaches,1
50,,indie,1
51,,start,1
52,,based,1
53,,Cupertino,1
54,,shared,1
55,,details,1
56,,Vision,1
57,,Pro,1
58,,headset,1
59,,last,1
60,,year,1
61,,Probably,1
62,,help,1
63,,justify,1
64,,tag,1
65,,reminiscent,1
66,,first,1
67,,car,1
68,,Another,1
69,,co,1
70,,F86OvZuV0W,1
