,profiles,kw,count
0,_zkmike,co,13
1,,market,4
2,,cycle,3
3,,going,3
4,,might,3
5,,really,3
6,,CT,3
7,,new,3
8,,think,3
9,,long,3
10,,protocol,2
11,,pretty,2
12,,everyone,2
13,,obvious,2
14,,One,2
15,,hype,2
16,,coin,2
17,,bottom,2
18,,great,2
19,,top,2
20,,RT,2
21,,BTC,2
22,,trade,2
23,,gone,2
24,,month,2
25,,major,2
26,,right,2
27,,matey,2
28,,need,2
29,,enter,2
30,,gym,2
31,,people,2
32,,tried,1
33,,using,1
34,,point,1
35,,system,1
36,,incentivize,1
37,,integrations,1
38,,BD,1
39,,Seems,1
40,,smart,1
41,,sNYYERRsI3,1
42,,sector,1
43,,RWA,1
44,,tokenization,1
45,,knows,1
46,,one,1
47,,leading,1
48,,performers,1
49,,started,1
50,,Market,1
51,,giving,1
52,,hints,1
53,,EGRPqg1iAM,1
54,,stabled,1
55,,flows,1
56,,weekend,1
57,,oVcqLzG7nS,1
58,,speculating,1
59,,decentralized,1
60,,chain,1
61,,bond,1
62,,unicorn,1
63,,u43SPkPt6E,1
64,,wonder,1
65,,given,1
66,,ONDO,1
67,,PENDLE,1
68,,strongest,1
69,,Personally,1
70,,huge,1
71,,fan,1
72,,low,1
73,,float,1
74,,tokenomics,1
75,,model,1
76,,used,1
77,,insanely,1
78,,ambitious,1
79,,works,1
80,,reshape,1
81,,fabric,1
82,,society,1
83,,making,1
84,,single,1
85,,side,1
86,,staking,1
87,,intriguing,1
88,,indeed,1
89,,simple,1
90,,opinion,1
91,,Good,1
92,,team,1
93,,heads,1
94,,building,1
95,,entire,1
96,,bear,1
97,,Product,1
98,,makes,1
99,,sense,1
100,,Tokenomics,1
101,,check,1
102,,Fits,1
103,,narrative,1
104,,Reasonable,1
105,,valuation,1
106,,Okay,1
107,,cool,1
108,,let,1
109,,bet,1
110,,shit,1
111,,shilled,1
112,,sidelined,1
113,,smug,1
114,,posts,1
115,,rips,1
116,,highs,1
117,,TheRotatooor,1
118,,bro,1
119,,v9Pf5ElJIk,1
120,,entering,1
121,,period,1
122,,EV,1
123,,max,1
124,,shoving,1
125,,solid,1
126,,projects,1
127,,shortly,1
128,,launch,1
129,,airdrop,1
130,,farming,1
131,,ones,1
132,,go,1
133,,50x,1
134,,Oh,1
135,,scam,1
136,,dumped,1
137,,Sunday,1
138,,close,1
139,,immediately,1
140,,rip,1
141,,open,1
142,,seen,1
143,,happen,1
144,,f5MYAbLcTL,1
145,,trading,1
146,,hit,1
147,,rate,1
148,,weekly,1
149,,timeframes,1
150,,Dude,1
151,,anyone,1
152,,tweet,1
153,,hot,1
154,,streak,1
155,,sb,1
156,,past,1
157,,Ideally,1
158,,super,1
159,,drawn,1
160,,shoulder,1
161,,ETH,1
162,,continues,1
163,,outperformance,1
164,,betas,1
165,,outperforming,1
166,,multi,1
167,,week,1
168,,bounce,1
169,,bid,1
170,,dip,1
171,,saying,1
172,,pray,1
173,,kQfLg6WpOI,1
174,,larry,1
175,,fink,1
176,,CNBC,1
177,,shilling,1
178,,link,1
179,,future,1
180,,hindsight,1
181,,Heartwood,1
182,,O9d3OJUmca,1
183,,ay,1
184,,BigDickBull69,1
185,,got,1
186,,magic,1
187,,trick,1
188,,show,1
189,,u,1
190,,lad,1
191,,spot,1
192,,5th,1
193,,tonight,1
194,,misses,1
195,,town,1
196,,v4hJcQ6187,1
197,,dropped,1
198,,looking,1
199,,chart,1
200,,5t4VzDEkzv,1
201,,make,1
202,,HODL,1
203,,inevitable,1
204,,participants,1
205,,next,1
206,,months,1
207,,curious,1
208,,see,1
209,,TIA,1
210,,PA,1
211,,plays,1
212,,early,1
213,,phase,1
214,,EigenDA,1
215,,SSV,1
216,,flips,1
217,,HVN,1
218,,probably,1
219,,moon,1
220,,mission,1
221,,time,1
222,,rL1dSGK8gF,1
223,,cat,1
224,,upside,1
225,,aaaaaaaa,1
226,,profile,1
227,,picture,1
228,,aaaaaa,1
229,,NewProfilePic,1
230,,MgM3XRswy4,1
231,,Need,1
232,,scan,1
233,,sign,1
234,,build,1
235,,predictions,1
236,,short,1
237,,zero,1
238,,nothing,1
239,,worse,1
240,,New,1
241,,Year,1
242,,resolution,1
243,,know,1
244,,within,1
245,,reason,1
246,,moves,1
247,,counter,1
248,,sentiment,1
249,,ghost,1
250,,towns,1
251,,chats,1
252,,across,1
253,,board,1
254,,yesterday,1
255,,pico,1
256,,phooterxbt,1
257,,Sz,1
258,,Xo,1
259,,Cc,1
260,,GX,1
261,,af,1
262,,insilcum,1
263,,walk,1
264,,bar,1
265,,bartender,1
266,,says,1
267,,deviation,1
268,,Short,1
269,,fucker,1
270,,c,1
271,,lines,1
272,,SxElXcNGKr,1
