,profiles,kw,count
0,ahboyash,co,8
1,,chain,4
2,,Thetanuts,4
3,,cross,3
4,,first,2
5,,marketplace,2
6,,inscriptions,2
7,,LBP,2
8,,well,2
9,,market,2
10,,AMM,2
11,,trading,2
12,,fees,2
13,,iirc,1
14,,across,1
15,,LyveFinance,1
16,,quite,1
17,,3m,1
18,,raised,1
19,,tokens,1
20,,sold,1
21,,smart,1
22,,money,1
23,,wallets,1
24,,aping,1
25,,50k,1
26,,clips,1
27,,shown,1
28,,nansen_ai,1
29,,link,1
30,,WfWf7MtGXa,1
31,,facts,1
32,,Backed,1
33,,PythNetwork,1
34,,LineaBuild,1
35,,Liquidation,1
36,,free,1
37,,4dFzAZV043,1
38,,Relevant,1
39,,links,1
40,,Learn,1
41,,8k0kfatE3x,1
42,,website,1
43,,wqxmXQqpUP,1
44,,Medium,1
45,,KHrJMJgozv,1
46,,DeFiLlama,1
47,,yUIi7Y1HZz,1
48,,Dune,1
49,,Dashboard,1
50,,j3qAOwwjD9,1
51,,Friends,1
52,,covered,1
53,,2lambro,1
54,,Closing,1
55,,thoughts,1
56,,DOVs,1
57,,lost,1
58,,allure,1
59,,last,1
60,,years,1
61,,due,1
62,,bear,1
63,,liquidity,1
64,,extremely,1
65,,thin,1
66,,sentiments,1
67,,pick,1
68,,expect,1
69,,users,1
70,,flock,1
71,,DeFi,1
72,,dApps,1
73,,trade,1
74,,options,1
75,,search,1
76,,sustainable,1
77,,yields,1
78,,Finance,1
79,,good,1
80,,c,1
81,,Users,1
82,,LP,1
83,,supplying,1
84,,XYZ,1
85,,ARB,1
86,,WETH,1
87,,USDC,1
88,,supported,1
89,,order,1
90,,earn,1
91,,represents,1
92,,best,1
93,,way,1
94,,gain,1
95,,access,1
96,,premiums,1
97,,basic,1
98,,vaults,1
99,,lending,1
100,,interest,1
101,,W4CVxodUvS,1
102,,RT,1
103,,inscribe_app,1
104,,Introducing,1
105,,Inscribe,1
106,,automated,1
107,,WebApp,1
108,,amp,1
109,,Bot,1
110,,Multichain,1
