,profiles,kw,count
0,aiarena_,co,8
1,,AI,5
2,,OpenAI,3
3,,weekly,2
4,,rundown,2
5,,aiarena_,2
6,,Looks,1
7,,great,1
8,,place,1
9,,battle,1
10,,us,1
11,,gNByYVM6AA,1
12,,complete,1
13,,insight,1
14,,sent,1
15,,straight,1
16,,inbox,1
17,,Sign,1
18,,nT8bY1WBGP,1
19,,GPT,1
20,,May,1
21,,Closer,1
22,,Think,1
23,,DBJGobWOxZ,1
24,,Replaced,1
25,,Metaverse,1
26,,Zuckerberg,1
27,,Top,1
28,,Priority,1
29,,evWlGBzRVU,1
30,,NaXHrPQKHB,1
31,,California,1
32,,AG,1
33,,Must,1
34,,Investigate,1
35,,Non,1
36,,Profit,1
37,,Status,1
38,,SKLME01OjT,1
39,,Backed,1
40,,1X,1
41,,Secures,1
42,,Million,1
43,,Funding,1
44,,Humanoid,1
45,,Robot,1
46,,Development,1
47,,nQAGLVmeZL,1
48,,ARENA,1
49,,latest,1
50,,developments,1
51,,compiled,1
52,,leading,1
53,,name,1
54,,Gaming,1
55,,AVIgIGpIYO,1
56,,RT,1
57,,0x_jefuture,1
58,,supporter,1
59,,project,1
60,,disclosed,1
61,,token,1
62,,economics,1
63,,design,1
64,,find,1
65,,play,1
