,profiles,kw,count
0,allianceblock,co,11
1,,AllianceBlock,10
2,,AjajaRachid,8
3,,RWA,7
4,,official,7
5,,NXRA,5
6,,GenfinityIO,5
7,,X,4
8,,Space,4
9,,date,4
10,,make,4
11,,sure,4
12,,follow,4
13,,Telegram,4
14,,Announcements,4
15,,channel,4
16,,u6u7zK6inM,4
17,,ERC,3
18,,RT,3
19,,joined,3
20,,wallet,3
21,,Vanarchain,3
22,,team,3
23,,Founder,3
24,,CEO,3
25,,hosted,3
26,,stay,3
27,,developments,3
28,,week,3
29,,tokenization,2
30,,take,2
31,,interact,2
32,,amp,2
33,,standards,2
34,,see,2
35,,proud,2
36,,BrillionFi,2
37,,become,2
38,,amazing,2
39,,Brillion,2
40,,AllianceBlocks,2
41,,innovative,2
42,,shared,2
43,,next,2
44,,chat,2
45,,adoption,2
46,,lifiprotocol,2
47,,_Arkefi,2
48,,big,2
49,,start,2
50,,need,1
51,,consistent,1
52,,predictable,1
53,,way,1
54,,fuelled,1
55,,eip7208,1
56,,enhances,1
57,,operate,1
58,,Web3,1
59,,proposal,1
60,,nXAvFVTTet,1
61,,Nuant_official,1
62,,announce,1
63,,Nuant,1
64,,OpenWealthAPI,1
65,,Association,1
66,,step,1
67,,towards,1
68,,integrating,1
69,,Digital,1
70,,smart,1
71,,work,1
72,,progress,1
73,,achieved,1
74,,truly,1
75,,serve,1
76,,connectivity,1
77,,layer,1
78,,technology,1
79,,ecosystem,1
80,,news,1
81,,well,1
82,,done,1
83,,act,1
84,,core,1
85,,engine,1
86,,Chain,1
87,,Data,1
88,,Containers,1
89,,enhance,1
90,,interoperability,1
91,,across,1
92,,recently,1
93,,explained,1
94,,detail,1
95,,QE8AEamjpW,1
96,,still,1
97,,listen,1
98,,recording,1
99,,gBZ1uMkPvB,1
100,,Media,1
101,,partners,1
102,,recent,1
103,,announcement,1
104,,move,1
105,,era,1
106,,transition,1
107,,Nexera,1
108,,signals,1
109,,forward,1
110,,thinking,1
111,,approach,1
112,,future,1
113,,finance,1
114,,Read,1
115,,upcoming,1
116,,year,1
117,,chain,1
118,,data,1
119,,containers,1
120,,culmination,1
121,,solutions,1
122,,six,1
123,,modules,1
124,,drive,1
125,,wave,1
126,,55J94Jbku1,1
127,,Another,1
128,,incoming,1
129,,kept,1
130,,everything,1
131,,leading,1
132,,use,1
133,,case,1
134,,partner,1
135,,reminded,1
136,,us,1
137,,keeping,1
138,,platform,1
139,,compliant,1
140,,always,1
141,,priority,1
142,,vn0XIBQhpp,1
143,,First,1
144,,straight,1
145,,back,1
146,,revisited,1
147,,key,1
148,,moments,1
149,,sneak,1
150,,peek,1
151,,Next,1
152,,Era,1
153,,Let,1
154,,look,1
155,,weekly,1
156,,recap,1
157,,7uXRRUa8YD,1
158,,envisions,1
159,,conversation,1
160,,tokenized,1
161,,RWAs,1
162,,continue,1
163,,high,1
164,,level,1
165,,blockchain,1
166,,infrastructure,1
167,,caters,1
168,,set,1
169,,shine,1
170,,2gCOJtkgqJ,1
171,,speak,1
172,,tokenisation,1
173,,validation,1
174,,market,1
175,,ready,1
176,,tackle,1
177,,ad,1
