,profiles,kw,count
0,alphascan_xyz,gt,12
1,,co,6
2,,last,5
3,,token,5
4,,mentions,5
5,,AlphaScan,3
6,,hours,3
7,,started,3
8,,day,3
9,,accounts,3
10,,mentioned,3
11,,Attention,2
12,,Short,2
13,,Term,2
14,,best,2
15,,days,2
16,,PastryEth,2
17,,Based,2
18,,average,2
19,,AI,2
20,,occurred,2
21,,everyone,2
22,,Poe_Ether,2
23,,traderpow,2
24,,call,2
25,,dogwifcoin,2
26,,WYNN,2
27,,look,2
28,,wif,2
29,,went,2
30,,Key,2
31,,Tradoooors,1
32,,wanna,1
33,,miss,1
34,,next,1
35,,rocket,1
36,,Pay,1
37,,performers,1
38,,BlocksNThoughts,1
39,,ChadCaff,1
40,,Bullrun_Gravano,1
41,,MiddleChildPabk,1
42,,0sFSvacIoF,1
43,,implement,1
44,,research,1
45,,beginning,1
46,,narrative,1
47,,lead,1
48,,FET,1
49,,Fetch_ai,1
50,,highest,1
51,,ranked,1
52,,pick,1
53,,weekly,1
54,,momentum,1
55,,continues,1
56,,JRx9x2AZeE,1
57,,RT,1
58,,0xelonmoney,1
59,,Overview,1
60,,versatile,1
61,,tool,1
62,,includes,1
63,,Sentiment,1
64,,Analytics,1
65,,KOL,1
66,,tracking,1
67,,Smart,1
68,,alerts,1
69,,much,1
70,,Wow,1
71,,insane,1
72,,outperformed,1
73,,RuggedWojak,1
74,,LiquidLizard_,1
75,,WIF,1
76,,performance,1
77,,SY8pEGS1Zv,1
78,,talked,1
79,,ago,1
80,,AMWToken,1
81,,10x,1
82,,Let,1
83,,sentiment,1
84,,January,1
85,,12th,1
86,,noticed,1
87,,sudden,1
88,,cluster,1
89,,became,1
90,,BTC,1
91,,ETH,1
92,,total,1
93,,key,1
94,,m7zW1JCBb3,1
95,,Alpha,1
96,,hat,1
97,,unstoppable,1
98,,Within,1
99,,chads,1
100,,told,1
101,,fade,1
102,,TheGemHunters,1
103,,matrixthesun,1
104,,ardizor,1
105,,Source,1
106,,LJPnSpCCPr,1
107,,L1s,1
108,,still,1
109,,leading,1
110,,single,1
111,,narratives,1
112,,see,1
113,,new,1
114,,gem,1
115,,horizon,1
116,,spot,1
117,,SSWP,1
118,,suiswap_app,1
119,,one,1
120,,tokens,1
121,,talk,1
122,,far,1
123,,YMjMzdItZc,1
