,profiles,kw,count
0,aori_io,co,5
1,,joshuagunnn,3
2,,Hot,2
3,,Seat,2
4,,0xAlcibiades,2
5,,founder,2
6,,valoremxyz,2
7,,Seaport,2
8,,Options,2
9,,tJl5UBxFew,2
10,,RT,2
11,,ROLLUP,2
12,,anon,2
13,,Gasless,2
14,,week,2
15,,episode,2
16,,live,1
17,,ep,1
18,,featuring,1
19,,talk,1
20,,Defi,1
21,,may,1
22,,seen,1
23,,term,1
24,,BASED,1
25,,twitter,1
26,,thought,1
27,,edgy,1
28,,takes,1
29,,twitt,1
30,,Episode,1
31,,tomorrow,1
32,,RSVP,1
33,,jv5VscILcp,1
34,,u,1
35,,seeing,1
36,,tight,1
37,,books,1
38,,MAKING,1
39,,MARKETS,1
40,,GASLESS,1
41,,TRADING,1
42,,CozbfpKcDR,1
43,,aori_io,1
44,,Link,1
45,,spaces,1
46,,returns,1
47,,Thursday,1
48,,EST,1
49,,join,1
50,,us,1
51,,chat,1
52,,Trading,1
53,,DeFi,1
54,,Set,1
55,,reminder,1
56,,last,1
57,,highlights,1
58,,core,1
59,,message,1
60,,Aori,1
61,,users,1
62,,trading,1
63,,Soon,1
64,,announce,1
65,,special,1
66,,guest,1
67,,Stay,1
68,,tuned,1
69,,sSxGrSl7Qg,1
