,profiles,kw,count
0,artcrimeprof,co,11
1,,photo,5
2,,question,2
3,,think,2
4,,one,2
5,,eye,2
6,,possible,2
7,,something,2
8,,art,2
9,,FOIA,2
10,,Menswear,1
11,,December,1
12,,sculptor,1
13,,Scholars,1
14,,often,1
15,,say,1
16,,penniless,1
17,,time,1
18,,fact,1
19,,check,1
20,,clothes,1
21,,looks,1
22,,pretty,1
23,,good,1
24,,dunno,1
25,,5GEU7hKFoq,1
26,,horse,1
27,,head,1
28,,background,1
29,,except,1
30,,bit,1
31,,ear,1
32,,broke,1
33,,someone,1
34,,hollowed,1
35,,carved,1
36,,lines,1
37,,mane,1
38,,features,1
39,,captured,1
40,,JbEuZPHxN9,1
41,,Photography,1
42,,friends,1
43,,taken,1
44,,flash,1
45,,natural,1
46,,light,1
47,,know,1
48,,want,1
49,,write,1
50,,totally,1
51,,stupid,1
52,,another,1
53,,reply,1
54,,DSf0dekdS3,1
55,,VOqBOA3j37,1
56,,posted,1
57,,updated,1
58,,syllabus,1
59,,additional,1
60,,resource,1
61,,links,1
62,,assignment,1
63,,discussion,1
64,,board,1
65,,prompts,1
66,,test,1
67,,questions,1
68,,cultural,1
69,,history,1
70,,photography,1
71,,course,1
72,,Academia,1
73,,yes,1
74,,proud,1
75,,assign,1
76,,whenever,1
77,,somewhat,1
78,,regardless,1
79,,class,1
80,,subject,1
81,,matter,1
82,,Goffman,1
83,,Gender,1
84,,Advertisements,1
85,,7DapnSL0II,1
86,,first,1
87,,bad,1
88,,fake,1
89,,antiquities,1
90,,eBay,1
91,,search,1
92,,boy,1
93,,howdy,1
94,,disappoint,1
95,,30o8tovUzk,1
96,,mood,1
97,,real,1
98,,roller,1
99,,coaster,1
100,,ride,1
101,,market,1
102,,tale,1
103,,involving,1
104,,dissolute,1
105,,Italian,1
106,,aristocrats,1
107,,powerful,1
108,,dealer,1
109,,Duveen,1
110,,fooled,1
111,,forgery,1
112,,recovering,1
113,,may,1
114,,recommend,1
115,,folder,1
116,,correspondence,1
117,,qMqxbfK9xI,1
118,,So1MBkIgW8,1
119,,Took,1
120,,kids,1
121,,jazz,1
122,,concert,1
123,,gave,1
124,,daughter,1
125,,sketch,1
126,,pad,1
127,,case,1
128,,got,1
129,,bored,1
130,,Looked,1
131,,drawing,1
132,,QBU0yNodld,1
133,,Using,1
134,,MLK,1
135,,quote,1
136,,open,1
137,,review,1
138,,radically,1
139,,misstate,1
140,,argument,1
141,,evidence,1
142,,accuse,1
143,,cancel,1
144,,culture,1
145,,chef,1
146,,kiss,1
147,,kbVGfRcpTc,1
148,,Already,1
149,,perfected,1
150,,move,1
151,,drinking,1
152,,sideways,1
153,,keep,1
154,,free,1
155,,book,1
156,,FyzCBLNiSn,1
157,,RT,1
158,,JasonLeopold,1
159,,Actual,1
160,,document,1
161,,slide,1
162,,deck,1
163,,released,1
164,,via,1
165,,FBI,1
166,,use,1
167,,future,1
168,,installation,1
