,profiles,kw,count
0,bebop_dex,co,6
1,,Bebop,5
2,,trading,4
3,,new,4
4,,beta,3
5,,love,2
6,,thoughts,2
7,,us,2
8,,Join,2
9,,Discord,2
10,,feedback,2
11,,web3,2
12,,citizens,2
13,,zerion,2
14,,access,2
15,,hear,1
16,,improved,1
17,,anything,1
18,,see,1
19,,Let,1
20,,know,1
21,,contributions,1
22,,delightful,1
23,,chat,1
24,,things,1
25,,chain,1
26,,8gyr2lmP1L,1
27,,Happy,1
28,,hope,1
29,,Hi89LOf32G,1
30,,excitement,1
31,,dear,1
32,,frens,1
33,,opening,1
34,,something,1
35,,hold,1
36,,back,1
37,,8YzR47dBdB,1
38,,Excited,1
39,,dive,1
40,,explore,1
41,,buzz,1
42,,Check,1
43,,6NvCijP8a2,1
44,,find,1
45,,made,1
46,,whitelist,1
47,,week,1
48,,Fresh,1
49,,addresses,1
50,,unlocked,1
51,,exclusive,1
52,,Share,1
53,,eXYyNRWBGh,1
54,,voting,1
55,,yet,1
56,,fam,1
57,,vote,1
58,,ur,1
59,,fav,1
60,,dApp,1
61,,MagicSquareio,1
62,,mind,1
63,,anon,1
64,,ZeWShtu8gt,1
65,,Private,1
66,,market,1
67,,makers,1
68,,Solvers,1
69,,Top,1
70,,quality,1
71,,pricing,1
72,,SundaySurvey,1
73,,time,1
74,,year,1
75,,bringing,1
76,,bebopfam,1
77,,favorite,1
78,,thing,1
79,,Beta,1
80,,far,1
