,profiles,kw,count
0,bigbcgamelist,RT,2
1,,WemixNetwork,2
2,,arbitrum,2
3,,net,2
4,,growth,2
5,,games,2
6,,Full,2
7,,data,2
8,,increase,2
9,,BCGbiz,1
10,,saw,1
11,,new,1
12,,0xPolygonLabs,1
13,,still,1
14,,gaming,1
15,,blockchain,1
16,,featu,1
17,,blockchains,1
18,,added,1
19,,shows,1
20,,chains,1
21,,seeing,1
22,,greatest,1
23,,terms,1
24,,ton_blockchain,1
25,,Immutable,1
26,,update,1
27,,co,1
28,,lRAgRPpdj4,1
29,,nansen_ai,1
30,,second,1
31,,month,1
32,,row,1
33,,Ronin_Network,1
34,,topped,1
35,,charts,1
36,,largest,1
37,,active,1
38,,addresses,1
39,,Nice,1
40,,see,1
41,,GAM3Sgg_,1
42,,covering,1
43,,come,1
