,profiles,kw,count
0,bobocoineth,co,16
1,,BOBO,5
2,,RT,5
3,,captain,2
4,,speaking,2
5,,enough,2
6,,bobo,2
7,,started,2
8,,feels,1
9,,momentum,1
10,,shifted,1
11,,EQoirllOaT,1
12,,Live,1
13,,look,1
14,,Grayscale,1
15,,trading,1
16,,desk,1
17,,Tfts2Xi52L,1
18,,Spirit,1
19,,Airlines,1
20,,fruHcxwDnd,1
21,,hear,1
22,,Mumu,1
23,,Satashi,1
24,,coming,1
25,,DzAkrZkOxY,1
26,,DrFungoshi,1
27,,KaUtZcCZuM,1
28,,CapitalGainzTax,1
29,,laying,1
30,,bed,1
31,,sleep,1
32,,GlLAyYKmVB,1
33,,Aviation,1
34,,Bear,1
35,,Market,1
36,,getting,1
37,,SAVE,1
38,,BA,1
39,,DAL,1
40,,AAL,1
41,,LUV,1
42,,IF4AGMhHxt,1
43,,rekt_tekashi,1
44,,pAgSgLRx65,1
45,,Ladies,1
46,,gentlemen,1
47,,save,1
48,,safety,1
49,,kindly,1
50,,request,1
51,,keep,1
52,,seatbelts,1
53,,fastened,1
54,,everything,1
55,,control,1
56,,M0xTrZPVl4,1
57,,KXGxmNJoeA,1
58,,LucaNetz,1
59,,Gm,1
60,,MlAJ775hX3,1
61,,CCCCOOOOOOOOIIIIIIIIINNNNNNNNN,1
62,,58TYLV6dsV,1
63,,beranewsnetwork,1
64,,Remember,1
65,,BTC,1
66,,red,1
67,,weeks,1
68,,row,1
69,,47K,1
70,,UsXOPlGEzU,1
71,,gm,1
72,,8Hrbwn6KRL,1
73,,weekend,1
74,,forecast,1
75,,uqrV2izfN1,1
76,,bears,1
77,,T9ITLdyi9P,1
