,profiles,kw,count
0,bubblemaps,chain,7
1,,co,6
2,,GMX_IO,5
3,,RT,4
4,,bubblemaps,4
5,,SatoshiVM,3
6,,zachxbt,3
7,,de,2
8,,cluster,2
9,,wallets,2
10,,supply,2
11,,SAVM,2
12,,one,2
13,,data,2
14,,10x,2
15,,trading,2
16,,game,2
17,,showing,2
18,,healthy,2
19,,signs,2
20,,Learn,2
21,,spot,2
22,,arbitrum,2
23,,avax,2
24,,okx,2
25,,Bybit_Official,2
26,,gate_io,2
27,,SynapseProtocol,2
28,,using,2
29,,Bubblemaps,2
30,,bridge,2
31,,coinacademy_fr,1
32,,Le,1
33,,projet,1
34,,fortement,1
35,,fait,1
36,,parler,1
37,,lui,1
38,,après,1
39,,la,1
40,,performance,1
41,,son,1
42,,jeton,1
43,,mais,1
44,,pas,1
45,,que,1
46,,et,1
47,,Two,1
48,,clusters,1
49,,yet,1
50,,examined,1
51,,updates,1
52,,come,1
53,,soon,1
54,,Vt7aSRsIvi,1
55,,Ibg2TVHJ0D,1
56,,pink,1
57,,represent,1
58,,ecosystem,1
59,,Currently,1
60,,unlocked,1
61,,holding,1
62,,0x7ff02,1
63,,0x42cd,1
64,,0xfdacf,1
65,,0x5aee,1
66,,cLELWXzAUW,1
67,,biggest,1
68,,launches,1
69,,millions,1
70,,made,1
71,,influencers,1
72,,dumping,1
73,,bags,1
74,,Satoshi,1
75,,VM,1
76,,Easily,1
77,,tracked,1
78,,lt,1
79,,Credit,1
80,,ZachXBT,1
81,,BMmjqD5iO1,1
82,,four,1
83,,largest,1
84,,holders,1
85,,funded,1
86,,wallet,1
87,,totaling,1
88,,Trade,1
89,,caution,1
90,,Bubbl,1
91,,analyzed,1
92,,GMX,1
93,,everything,1
94,,appears,1
95,,good,1
96,,shape,1
97,,Well,1
98,,done,1
99,,Finally,1
100,,green,1
101,,centered,1
102,,around,1
103,,cross,1
104,,infrastructure,1
105,,connections,1
106,,simply,1
107,,service,1
108,,assets,1
109,,another,1
110,,7wC57rhMvi,1
111,,lhJFcAbZiX,1
112,,million,1
113,,sent,1
114,,VitalikButerin,1
115,,free,1
116,,marketing,1
117,,stunt,1
118,,memecoin,1
119,,gone,1
120,,wrong,1
121,,happened,1
