,profiles,kw,count
0,casperdefi,RT,15
1,,fruitsquarex,8
2,,BefiLabs,6
3,,BeFi,4
4,,new,4
5,,Fruitsquare,4
6,,Daily,4
7,,Buzz,4
8,,vol,4
9,,Labs,3
10,,bring,3
11,,DEFI,3
12,,SkyArk,3
13,,project,2
14,,co,2
15,,Validator,2
16,,Scheme,2
17,,SEI,2
18,,including,2
19,,coming,2
20,,great,2
21,,projects,2
22,,Depin,2
23,,Weekly,1
24,,Update,1
25,,Growing,1
26,,Ecosystem,1
27,,week,1
28,,brought,1
29,,exciting,1
30,,introduced,1
31,,integrations,1
32,,AIRDROP,1
33,,alt_layer,1
34,,taken,1
35,,Jan,1
36,,ALT,1
37,,Bullish,1
38,,xai,1
39,,future,1
40,,joining,1
41,,forces,1
42,,eesee_io,1
43,,aiming,1
44,,EESEE,1
45,,advanced,1
46,,analytics,1
47,,even,1
48,,Launch,1
49,,alpha,1
50,,registration,1
51,,still,1
52,,open,1
53,,theapeterminal,1
54,,less,1
55,,hours,1
56,,looking,1
57,,entry,1
58,,trade,1
59,,Manta,1
60,,Inside,1
61,,Labs',1
62,,Security,1
63,,top,1
64,,priority,1
65,,sophisticated,1
66,,network,1
67,,designed,1
68,,madjarevicn,1
69,,dragonswap_dex,1
70,,EVM,1
71,,blockchain,1
72,,tailored,1
73,,trading,1
74,,aligning,1
75,,perfectly,1
76,,core,1
77,,vision,1
78,,Crypto_Dep,1
79,,reports,1
80,,Hedera,1
81,,approved,1
82,,408M,1
83,,worth,1
84,,HBAR,1
85,,alloca,1
86,,Overview,1
87,,Galxe,1
88,,campaigns,1
89,,end,1
90,,dates,1
91,,times,1
92,,avantisfinance,1
93,,mm,1
94,,funding,1
95,,perpetuals,1
96,,ethxy,1
97,,day,1
98,,teaser,1
99,,Isle,1
100,,Conquest,1
101,,upcoming,1
102,,game,1
103,,mode,1
104,,able,1
105,,produce,1
106,,variety,1
107,,goods,1
108,,Excited,1
109,,time,1
110,,ords,1
111,,3y,1
112,,asxn_r,1
113,,sparkdotfi,1
114,,read,1
115,,check,1
116,,VHoWo4F,1
117,,One,1
118,,anticipated,1
119,,miss,1
120,,Anon,1
121,,PaladinAIETH,1
122,,might,1
123,,noticed,1
124,,making,1
125,,announcements,1
126,,committed,1
127,,enhancing,1
128,,partnerships,1
129,,Project,1
130,,review,1
131,,raised,1
132,,15m,1
133,,Binance,1
134,,lead,1
135,,investors,1
136,,Chronicles,1
137,,trilogy,1
138,,two,1
139,,Gam,1
140,,PendleIntern,1
141,,piece,1
142,,ether_fi,1
143,,eETH,1
144,,x,1
145,,pendle_fi,1
146,,First,1
147,,BRC20,1
148,,collaborate,1
149,,ZKBaseOfficial,1
150,,Leveraging,1
151,,ZK,1
152,,tech,1
153,,L2,1
154,,Solution,1
155,,ZKByte,1
156,,exists,1
157,,uses,1
158,,decentralized,1
159,,infrastructure,1
160,,token,1
161,,real,1
162,,life,1
163,,appli,1
