,profiles,kw,count
0,cedelabs,co,9
1,,NFT,7
2,,USDC,6
3,,LogX_trade,5
4,,LogX,4
5,,cedelabs,3
6,,integration,3
7,,RT,2
8,,transaction,2
9,,Mystery,2
10,,Giveaway,2
11,,campaign,2
12,,Transfer,2
13,,Centralized,2
14,,questions,2
15,,Twitter,2
16,,Space,2
17,,Us5jxTO9bG,2
18,,liquidity,2
19,,anjingjinbu,1
20,,extracted,1
21,,total,1
22,,testing,1
23,,address,1
24,,0xB,1
25,,x,1
26,,Exch,1
27,,feedback,1
28,,regarding,1
29,,cede,1
30,,feel,1
31,,free,1
32,,send,1
33,,message,1
34,,following,1
35,,Disord,1
36,,channel,1
37,,team,1
38,,support,1
39,,answer,1
40,,o9gDX6aFjs,1
41,,1nUSyB12Pa,1
42,,Prize,1
43,,structure,1
44,,1st,1
45,,2nd,1
46,,3rd,1
47,,4th,1
48,,8th,1
49,,9th,1
50,,100th,1
51,,ATTENTION,1
52,,TRADERS,1
53,,celelebrates,1
54,,exciting,1
55,,Exchanges,1
56,,assets,1
57,,using,1
58,,drZ7axdndV,1
59,,earn,1
60,,amp,1
61,,exclusive,1
62,,Details,1
63,,BaeHUEU1kD,1
64,,SRT0OUvtRw,1
65,,Attention,1
66,,frens,1
67,,Akshit,1
68,,founder,1
69,,starting,1
70,,hours,1
71,,See,1
72,,ready,1
73,,unmissable,1
74,,event,1
75,,Cede,1
76,,Unlock,1
77,,episode,1
78,,Date,1
79,,Monday,1
80,,January,1
81,,15th,1
82,,Time,1
83,,PM,1
84,,UTC,1
85,,Set,1
86,,reminder,1
87,,TwitterSpace,1
88,,AMA,1
89,,qbwpexbjAQ,1
