,profiles,kw,count
0,coinbureau,co,25
1,,Bitcoin,6
2,,crypto,5
3,,RWA,4
4,,live,3
5,,cover,3
6,,well,3
7,,amp,3
8,,ETFs,3
9,,think,2
10,,ETH,2
11,,tokenisation,2
12,,projects,2
13,,selling,2
14,,Sui,2
15,,detail,2
16,,make,2
17,,intocryptoverse,2
18,,GST,2
19,,EST,2
20,,Polkadot,2
21,,really,2
22,,talk,2
23,,latest,2
24,,vid,2
25,,Enjoy,2
26,,US,2
27,,nicrypto,2
28,,see,2
29,,altcoin,2
30,,Great,2
31,,ETF,1
32,,eventually,1
33,,approved,1
34,,eESy82tgVE,1
35,,Real,1
36,,World,1
37,,Assets,1
38,,attention,1
39,,major,1
40,,players,1
41,,JP,1
42,,Morgan,1
43,,Blackrock,1
44,,catalyst,1
45,,brings,1
46,,next,1
47,,trillion,1
48,,explore,1
49,,xDlgHBbz9v,1
50,,markets,1
51,,Satashi,1
52,,start,1
53,,coins,1
54,,8j3bpOH6K3,1
55,,Hailed,1
56,,Ultimate,1
57,,High,1
58,,Speed,1
59,,Blockchain,1
60,,hype,1
61,,project,1
62,,HioJsVXd7M,1
63,,miners,1
64,,likely,1
65,,sure,1
66,,capitalised,1
67,,ahead,1
68,,halving,1
69,,bFKr5tg8iH,1
70,,Thursday,1
71,,means,1
72,,back,1
73,,NFA,1
74,,Coming,1
75,,NewsAsset,1
76,,6pm,1
77,,9am,1
78,,CB,1
79,,Clips,1
80,,See,1
81,,gAvndCdh0x,1
82,,QNmRjrst1F,1
83,,one,1
84,,exciting,1
85,,performing,1
86,,bull,1
87,,run,1
88,,update,1
89,,DOT,1
90,,takes,1
91,,enter,1
92,,spotlight,1
93,,YzyANGuRlx,1
94,,Discuss,1
95,,V9RptmVkcN,1
96,,Gary,1
97,,getting,1
98,,ready,1
99,,eat,1
100,,yet,1
101,,another,1
102,,massive,1
103,,L,1
104,,chances,1
105,,knows,1
106,,CBDC,1
107,,Seems,1
108,,talking,1
109,,point,1
110,,votes,1
111,,35sPCPsgPI,1
112,,WTF,1
113,,going,1
114,,WEF,1
115,,ILX3PEG2bo,1
116,,first,1
117,,time,1
118,,said,1
119,,made,1
120,,statement,1
121,,interviews,1
122,,Maybe,1
123,,CNBC,1
124,,stop,1
125,,asking,1
126,,dimwitted,1
127,,twit,1
128,,opinion,1
129,,Qp8leYXfEi,1
130,,completely,1
131,,new,1
132,,things,1
133,,must,1
134,,know,1
135,,investing,1
136,,broken,1
137,,Y3hGSVtsBZ,1
138,,Going,1
139,,jessicasmw,1
140,,30pm,1
141,,30am,1
142,,Lot,1
143,,including,1
144,,selloff,1
145,,Dencun,1
146,,upgrade,1
147,,CpyXPAalJt,1
148,,IFTaPMG7YJ,1
149,,presidential,1
150,,ticket,1
151,,best,1
152,,Another,1
153,,episode,1
154,,Coin,1
155,,Bureau,1
156,,Q,1
157,,SEI,1
158,,SUI,1
159,,TIA,1
160,,Token,1
161,,Potential,1
162,,KY2FeRhyfv,1
163,,Interesting,1
164,,digital,1
165,,Gold,1
166,,narrative,1
167,,borne,1
168,,data,1
169,,y4F8lGebsk,1
170,,promising,1
171,,invest,1
172,,rugpull,1
173,,scam,1
174,,designed,1
175,,leave,1
176,,rekt,1
177,,Well,1
178,,exactly,1
179,,need,1
180,,complete,1
181,,checklist,1
182,,avoid,1
183,,pitfalls,1
184,,covered,1
185,,today,1
186,,S1YlWja9gF,1
187,,still,1
188,,say,1
189,,l8F3rVJAhb,1
190,,RT,1
191,,coinbureau,1
192,,CBC,1
193,,members,1
194,,enjoying,1
195,,subscription,1
196,,right,1
197,,gates,1
198,,Apart,1
199,,small,1
200,,cap,1
201,,reviews,1
202,,rundown,1
203,,recent,1
204,,CPI,1
205,,Larry,1
206,,Fink,1
207,,singing,1
208,,praises,1
209,,MP2s9rDELq,1
210,,milly,1
211,,memcoin,1
212,,fool,1
213,,gold,1
214,,traps,1
215,,novice,1
216,,investors,1
217,,explored,1
218,,video,1
219,,BONK,1
220,,SHIB,1
221,,DOGE,1
222,,WIF,1
223,,A6E202FKsL,1
224,,Shout,1
225,,Grayscale,1
226,,real,1
227,,MVPs,1
228,,G1mLfBNE0F,1
229,,seem,1
230,,bad,1
231,,least,1
232,,655m,1
233,,inflows,1
234,,gkdsSrMtb1,1
235,,great,1
236,,Padel,1
237,,rivalry,1
238,,continues,1
239,,bZFbyGwIqF,1
