,profiles,kw,count
0,coinfessions,co,10
1,,RT,3
2,,coinfessions,3
3,,sit,2
4,,across,2
5,,people,2
6,,realize,2
7,,never,2
8,,faith,2
9,,begin,2
10,,GmRbn1Fkxu,2
11,,Crypto,2
12,,feeling,2
13,,big,2
14,,win,2
15,,zero,2
16,,issues,2
17,,dumping,2
18,,7NgIsyYM2B,2
19,,connected,2
20,,metamask,2
21,,wallet,2
22,,phishing,2
23,,website,2
24,,completely,2
25,,fooled,2
26,,lost,2
27,,everything,2
28,,went,1
29,,Lido,1
30,,underwater,1
31,,shitcoin,1
32,,years,1
33,,missing,1
34,,loads,1
35,,ETH,1
36,,pumps,1
37,,Soylana,1
38,,runs,1
39,,average,1
40,,office,1
41,,worker,1
42,,Hong,1
43,,Kong,1
44,,Ne5mVh7DXg,1
45,,artists,1
46,,even,1
47,,subtweet,1
48,,come,1
49,,entitled,1
50,,essentially,1
51,,blackballed,1
52,,community,1
53,,x4KfQ6gZwn,1
54,,love,1
55,,real,1
56,,running,1
57,,shit,1
58,,together,1
59,,year,1
60,,coming,1
61,,New,1
62,,York,1
63,,dick,1
64,,marry,1
65,,pump,1
66,,depressed,1
67,,rrosUCsvFE,1
68,,asking,1
69,,sell,1
70,,cash,1
71,,jBiYBca004,1
72,,found,1
73,,SHIB,1
74,,early,1
75,,days,1
76,,Brought,1
77,,sold,1
78,,ATH,1
79,,worth,1
80,,Million,1
81,,feel,1
82,,miserable,1
83,,Hearing,1
84,,classmates,1
85,,talk,1
86,,careers,1
87,,finances,1
88,,sounds,1
89,,different,1
90,,B2uKwX85dk,1
91,,hopeful,1
92,,changing,1
93,,family,1
94,,life,1
95,,investment,1
96,,dream,1
97,,longed,1
98,,Solana,1
99,,Woken,1
100,,realised,1
101,,December,1
102,,still,1
103,,financially,1
104,,recovered,1
105,,last,1
106,,bull,1
107,,market,1
108,,rewarding,1
109,,got,1
110,,web3,1
111,,far,1
112,,QZtSaINBTV,1
