,profiles,kw,count
0,crypto_bitlord7,RT,24
1,,crypto_bitlord7,24
2,,MOLLY,19
3,,co,9
4,,GodsoeJosh,5
5,,cans,4
6,,know,3
7,,crypto,3
8,,deliver,3
9,,T_E_E___,3
10,,rug,3
11,,JakeGagain,3
12,,Molly_Gateway,3
13,,mill,3
14,,rugged,2
15,,8DoubleD,2
16,,trading,2
17,,want,2
18,,scammer,2
19,,project,2
20,,lawyers,2
21,,FUD,2
22,,new,2
23,,one,2
24,,application,2
25,,go,2
26,,going,2
27,,TheOfficialDman,2
28,,believe,2
29,,today,2
30,,saying,2
31,,support,2
32,,satchman33,2
33,,buy,2
34,,token,2
35,,oneintent_,2
36,,time,2
37,,molly,2
38,,facts,2
39,,WFYjZIPspe,2
40,,7m,2
41,,liquidity,2
42,,B1,2
43,,user,2
44,,sorry,2
45,,fault,2
46,,deserve,1
47,,Came,1
48,,back,1
49,,unload,1
50,,premine,1
51,,BTC,1
52,,Deleted_User68,1
53,,Projects,1
54,,Lit,1
55,,TA,1
56,,4vBx8V0KM4,1
57,,Apply,1
58,,within,1
59,,bros,1
60,,gecko,1
61,,dextool,1
62,,holders,1
63,,fixed,1
64,,TCOFrK8In4,1
65,,Years,1
66,,impact,1
67,,brain,1
68,,development,1
69,,due,1
70,,health,1
71,,reasons,1
72,,leaving,1
73,,Doctors,1
74,,said,1
75,,stress,1
76,,lack,1
77,,sleep,1
78,,increased,1
79,,anxiety,1
80,,taken,1
81,,toll,1
82,,agreed,1
83,,bull,1
84,,run,1
85,,Daily,1
86,,feel,1
87,,8z6BPUQDyd,1
88,,Coinboi2,1
89,,Show,1
90,,transparency,1
91,,Crypto,1
92,,transparent,1
93,,success,1
94,,pepe_pecker,1
95,,True,1
96,,always,1
97,,day,1
98,,Bitlord,1
99,,Ok,1
100,,geniuses,1
101,,kind,1
102,,submit,1
103,,vara,1
104,,appli,1
105,,starting,1
106,,appear,1
107,,originating,1
108,,paid,1
109,,source,1
110,,Fake,1
111,,accounts,1
112,,users,1
113,,focused,1
114,,thing,1
115,,coordinated,1
116,,dispute,1
117,,intentions,1
118,,still,1
119,,remain,1
120,,unknown,1
121,,Unfortunately,1
122,,forced,1
123,,cope,1
124,,continue,1
125,,Today,1
126,,met,1
127,,responsible,1
128,,handling,1
129,,VARA,1
130,,final,1
131,,admissions,1
132,,process,1
133,,begins,1
134,,formally,1
135,,web,1
136,,7s,1
137,,legitimate,1
138,,consumer,1
139,,product,1
140,,Nothing,1
141,,stop,1
142,,BraggingDj45176,1
143,,Bullshit,1
144,,launched,1
145,,interested,1
146,,Lots,1
147,,misplaced,1
148,,fud,1
149,,everyone,1
150,,expected,1
151,,scam,1
152,,BL,1
153,,legitimately,1
154,,building,1
155,,creating,1
156,,something,1
157,,amazing,1
158,,truly,1
159,,concep,1
160,,ASX_invest,1
161,,Loaded,1
162,,tV7xSGRUHO,1
163,,MagicCruise7,1
164,,bullish,1
165,,100k,1
166,,giveaway,1
167,,airdrop,1
168,,coming,1
169,,Retweet,1
170,,follow,1
171,,standby,1
172,,details,1
173,,test,1
174,,account,1
175,,creation,1
176,,gateway,1
177,,app,1
178,,Hoping,1
179,,ANN,1
180,,week,1
181,,TropicalDroof,1
182,,got,1
183,,cult,1
184,,followers,1
185,,change,1
186,,necessary,1
187,,William56558111,1
188,,guy,1
189,,likes,1
190,,troll,1
191,,haters,1
192,,noticed,1
193,,QuantumJerry,1
194,,anyone,1
195,,went,1
196,,threw,1
197,,hell,1
198,,came,1
199,,Lion,1
200,,Pauly0x,1
201,,w,1
202,,Degenomics2000,1
203,,see,1
204,,succeed,1
205,,Molly,1
206,,TBH,1
207,,GoblinMayn,1
208,,im,1
209,,2x,1
210,,lol,1
211,,dips,1
212,,takes,1
213,,large,1
214,,amounts,1
215,,lq,1
216,,list,1
217,,cex,1
218,,ANSEL_0108,1
219,,ignore,1
220,,months,1
221,,later,1
222,,grandkids,1
223,,urge,1
224,,smart,1
225,,enough,1
226,,took,1
227,,eth,1
228,,pumped,1
229,,price,1
230,,id,1
231,,piss,1
232,,adidogCEO,1
233,,idea,1
234,,sounds,1
235,,pretty,1
236,,damn,1
237,,good,1
238,,UpOnly,1
239,,bou,1
240,,concept,1
241,,exceptionally,1
242,,brilliant,1
243,,requiring,1
244,,broader,1
245,,audience,1
246,,fully,1
247,,grasp,1
248,,wanted,1
249,,put,1
250,,days,1
251,,Everyone,1
252,,talking,1
253,,shit,1
254,,calling,1
255,,scammed,1
256,,meanwhile,1
257,,injected,1
258,,21m,1
259,,market,1
260,,cap,1
261,,5m,1
262,,funding,1
263,,ETH,1
264,,returned,1
265,,banned,1
266,,jurisdictions,1
267,,weeks,1
268,,away,1
269,,NFTS,1
270,,forming,1
271,,cup,1
272,,handle,1
273,,floor,1
274,,cards,1
275,,Lw36OL4MSo,1
276,,Brav,1
277,,make,1
278,,bigger,1
279,,PRIME,1
280,,flexing,1
281,,Louis,1
282,,Vuitton,1
283,,bags,1
284,,mission,1
285,,ensure,1
286,,everywhere,1
287,,powerful,1
288,,tool,1
289,,onboard,1
290,,web3,1
291,,ecosystem,1
292,,Everything,1
293,,moving,1
294,,rapidly,1
295,,bring,1
296,,great,1
297,,pleasure,1
298,,loyal,1
299,,angels,1
300,,private,1
301,,adjust,1
302,,flow,1
303,,LandoftheUnibot,1
304,,apologies,1
305,,needed,1
306,,mate,1
307,,chosen,1
308,,HODL,1
309,,yashcryptoo,1
310,,people,1
311,,understand,1
312,,sales,1
313,,live,1
314,,red,1
315,,crow,1
316,,gt,1
317,,IQ,1
318,,Mike,1
319,,sub,1
320,,lucky,1
321,,lVNVAPTb3A,1
322,,apology,1
323,,messing,1
324,,done,1
325,,affected,1
326,,Technically,1
327,,continuing,1
328,,ape,1
329,,shitcoins,1
330,,degenerate,1
331,,industry,1
332,,built,1
333,,hype,1
334,,eventually,1
335,,FadIGJc8CB,1
