,profiles,kw,count
0,crypto_pinapple,ക,54
1,,ന,47
2,,ട,42
3,,പ,26
4,,ത,21
5,,മ,18
6,,യ,17
7,,ച,17
8,,ര,16
9,,co,15
10,,വ,15
11,,ല,12
12,,സ,10
13,,ണ,9
14,,എന,7
15,,റ,7
16,,ഒര,6
17,,ൾ,5
18,,ൽ,5
19,,ദ,5
20,,ൻ,4
21,,ങ,4
22,,കണ,4
23,,പറഞ,4
24,,ഗ,4
25,,ർ,4
26,,അങ,3
27,,ഴ,3
28,,ഞ,3
29,,ആക,3
30,,ള,3
31,,നത,3
32,,ഇന,3
33,,ർഡ,3
34,,ബ,2
35,,ഏത,2
36,,സമയ,2
37,,ങൾ,2
38,,ഞപ,2
39,,ആധ,2
40,,ധ,2
41,,വന,2
42,,ഉണ,2
43,,MalaikkottaiVaaliban,2
44,,PV,2
45,,യവ,2
46,,ഇത,2
47,,ഹ,2
48,,casting,1
49,,performance,1
50,,music,1
51,,entertainment,1
52,,movie,1
53,,LZGhP4RaFr,1
54,,അപ,1
55,,രത,1
56,,Da6oDyTgTU,1
57,,rakhilogan,1
58,,ഇവന,1
59,,തട,1
60,,എപ,1
61,,തപ,1
62,,ടത,1
63,,ഇപ,1
64,,റത,1
65,,ഇര,1
66,,യക,1
67,,കപ,1
68,,അകത,1
69,,കര,1
70,,നല,1
71,,ഇട,1
72,,ഡ,1
73,,രസ,1
74,,6kwNhZd28U,1
75,,ധഭ,1
76,,ഭടൻ,1
77,,മട,1
78,,ഗൻ,1
79,,ടന,1
80,,പണ,1
81,,ബന,1
82,,നപ,1
83,,കട,1
84,,ടക,1
85,,സപ,1
86,,ർട,1
87,,ആശ,1
88,,വർഷ,1
89,,വസ,1
90,,റൽ,1
91,,അടച,1
92,,ആൾക,1
93,,മറന,1
94,,എല,1
95,,അറ,1
96,,തമ,1
97,,ഉള,1
98,,കളഞ,1
99,,ഈ,1
100,,ഉപദ,1
101,,ശ,1
102,,തവന,1
103,,മത,1
104,,Jay,1
105,,Sri,1
106,,ram,1
107,,slJFmSsSKi,1
108,,U0MCBMHcc8,1
109,,Seychelles,1
110,,AP4Ls7s8oU,1
111,,FDFS,1
112,,കളയ,1
113,,yeZUXBLMSH,1
114,,trailer,1
115,,Mohanlal,1
116,,ljp,1
117,,aYSZyszWGX,1
118,,കന,1
119,,തന,1
120,,Live,1
121,,Free,1
122,,Die,1
123,,Well,1
124,,xc4UHVgRYf,1
125,,big,1
126,,win,1
127,,Bhakts,1
128,,NlFHYhA44f,1
129,,ങന,1
130,,ഞങള,1
131,,38lLyoPIiy,1
132,,correct,1
133,,evm,1
134,,issue,1
135,,build,1
136,,core,1
137,,base,1
138,,Next,1
139,,Party,1
140,,enthanu,1
141,,ജ,1
142,,2MM12guOMu,1
143,,അത,1
144,,ഓര,1
145,,ഴവഴ,1
146,,കങ,1
147,,ZI5FmIqTIG,1
148,,ഷ,1
149,,ഭ,1
150,,ആണ,1
151,,എഴ,1
152,,സന,1
153,,ദർശ,1
154,,ഹങ,1
155,,ങള,1
156,,മണ,1
157,,രമ,1
158,,തത,1
159,,എങ,1
160,,കള,1
161,,read,1
162,,together,1
163,,flawed,1
164,,survey,1
165,,gbr7TBLp2u,1
166,,ഹമ,1
167,,Minnasunny_,1
168,,Lola__Mahi,1
169,,9vOjEcaeM6,1
