,profiles,kw,count
0,cryptoquant_com,co,12
1,,Bitcoin,7
2,,RT,6
3,,BTC,5
4,,Premium,5
5,,profit,3
6,,short,3
7,,term,3
8,,holders,3
9,,ETF,3
10,,amp,3
11,,price,3
12,,Link,3
13,,Term,3
14,,Coinbase,3
15,,trading,3
16,,last,3
17,,ki_young_ju,2
18,,LTH,2
19,,cost,2
20,,basis,2
21,,reduction,2
22,,average,2
23,,market,2
24,,selling,2
25,,pressure,2
26,,jjcmoreno,2
27,,Long,2
28,,Position,2
29,,Suggesting,2
30,,Price,2
31,,large,2
32,,investors,2
33,,old,2
34,,year,2
35,,low,2
36,,buy,2
37,,Fund,2
38,,Mean,2
39,,Exchange,2
40,,Inflow,2
41,,Sell,2
42,,days,2
43,,Korea,2
44,,Negative,2
45,,Short,2
46,,Chain,2
47,,Strategies,2
48,,correction,2
49,,Tether_to,1
50,,accumulating,1
51,,holding,1
52,,least,1
53,,4K,1
54,,EvXnnOZksm,1
55,,FDj8gT7cNR,1
56,,7k,1
57,,become,1
58,,key,1
59,,support,1
60,,band,1
61,,interpreted,1
62,,literally,1
63,,cohort,1
64,,different,1
65,,percentage,1
66,,total,1
67,,Realized,1
68,,Cap,1
69,,show,1
70,,much,1
71,,difference,1
72,,04k,1
73,,Yonsei_dent,1
74,,Full,1
75,,Post,1
76,,bbm5Q55Wp3,1
77,,Usually,1
78,,significant,1
79,,given,1
80,,sensitivity,1
81,,conditions,1
82,,provide,1
83,,strong,1
84,,rationale,1
85,,Exit,1
86,,liquidity,1
87,,Crazzyblockk,1
88,,KsgZiG20Us,1
89,,Spot,1
90,,holdings,1
91,,BlackRock,1
92,,IBIT,1
93,,Fidelity,1
94,,FBTC,1
95,,Ark,1
96,,21shares',1
97,,ARKB,1
98,,inflows,1
99,,compensating,1
100,,Gra,1
101,,ETH,1
102,,45k,1
103,,Massive,1
104,,Liquidations,1
105,,Uptrend,1
106,,Basis,1
107,,number,1
108,,liquidated,1
109,,causing,1
110,,volatility,1
111,,downside,1
112,,sentiment,1
113,,potential,1
114,,shift,1
115,,sharply,1
116,,holds,1
117,,bounces,1
118,,back,1
119,,uIKn9sSnhX,1
120,,movement,1
121,,occurred,1
122,,unit,1
123,,sell,1
124,,realize,1
125,,DanCoinInvestor,1
126,,9aXMebC0g0,1
127,,JA_Maartun,1
128,,Market,1
129,,hits,1
130,,high,1
131,,marking,1
132,,first,1
133,,positive,1
134,,occurrence,1
135,,period,1
136,,value,1
137,,Flashes,1
138,,Another,1
139,,Near,1
140,,Signal,1
141,,Caution,1
142,,Heading,1
143,,New,1
144,,Week,1
145,,Trading,1
146,,warning,1
147,,incoming,1
148,,possibly,1
149,,within,1
150,,hours,1
151,,DanBTC916,1
152,,wycnZbOcd6,1
153,,Positive,1
154,,Correction,1
155,,historical,1
156,,chart,1
157,,shows,1
158,,overheats,1
159,,turns,1
160,,means,1
161,,US,1
162,,South,1
163,,Korean,1
164,,Retail,1
165,,1Lm1wx8Cp3,1
166,,Exclusively,1
167,,Institutional,1
168,,Clients,1
169,,Inflows,1
170,,Dive,1
171,,crypto,1
172,,ToneVays,1
173,,Derivatives,1
174,,Trader,1
175,,Founder,1
176,,Financial,1
177,,Summit,1
178,,Unconfiscatable,1
179,,week,1
180,,join,1
181,,us,1
182,,explore,1
183,,dissect,1
184,,9RDtRFdp52,1
185,,go,1
186,,recent,1
187,,evaluate,1
188,,look,1
189,,realized,1
190,,month,1
191,,Use,1
192,,influx,1
193,,cash,1
194,,ETFs,1
195,,reflected,1
196,,increase,1
197,,Supply,1
198,,actively,1
199,,purchased,1
200,,similar,1
201,,spike,1
202,,observed,1
203,,April,1
204,,AxelAdlerJr,1
205,,2UZ6FdCkRn,1
206,,VXQNnsVqkE,1
207,,binhdangg1,1
208,,Volume,1
209,,new,1
210,,record,1
211,,higher,1
212,,lot,1
213,,post,1
214,,cryptoquant_com,1
215,,QuickTake,1
216,,Check,1
217,,Grayscale,1
218,,sent,1
219,,4k,1
220,,multiple,1
221,,addresses,1
222,,including,1
223,,7WK9qV8wa3,1
