,profiles,kw,count
0,cryptoskullx,co,9
1,,market,5
2,,bull,4
3,,VRA,3
4,,Trading,2
5,,BingX,2
6,,2aPeXHF9Ve,2
7,,45k,2
8,,delete,2
9,,bottom,2
10,,need,2
11,,Many,2
12,,people,2
13,,cycle,2
14,,random,2
15,,portfolio,2
16,,trading,2
17,,many,2
18,,time,2
19,,coins,2
20,,performer,2
21,,still,2
22,,running,2
23,,METIS,2
24,,ETH,2
25,,gm,2
26,,happy,2
27,,take,2
28,,added,1
29,,position,1
30,,PNKWweWmWv,1
31,,lowest,1
32,,fees,1
33,,BTC,1
34,,hours,1
35,,account,1
36,,tweet,1
37,,careful,1
38,,washing,1
39,,hands,1
40,,heard,1
41,,paper,1
42,,disintegrates,1
43,,fast,1
44,,TP,1
45,,put,1
46,,SL,1
47,,ride,1
48,,free,1
49,,Moonbag,1
50,,1IYikB77Ei,1
51,,Thanks,1
52,,playing,1
53,,sold,1
54,,local,1
55,,fomo,1
56,,harder,1
57,,friends,1
58,,KADkZEPCMr,1
59,,RT,1
60,,latest,1
61,,post,1
62,,Free,1
63,,alpha,1
64,,never,1
65,,appreciated,1
66,,Y'all,1
67,,forcing,1
68,,become,1
69,,paid,1
70,,group,1
71,,leader,1
72,,WKwZ96I9mu,1
73,,gave,1
74,,entry,1
75,,pump,1
76,,bags,1
77,,WfRSAbyyus,1
78,,48h,1
79,,btc,1
80,,panic,1
81,,sell,1
82,,indeed,1
83,,hurt,1
84,,huge,1
85,,reversal,1
86,,far,1
87,,tips,1
88,,Try,1
89,,avoid,1
90,,debating,1
91,,fighting,1
92,,Twitter,1
93,,focus,1
94,,growing,1
95,,obsessed,1
96,,hold,1
97,,grudge,1
98,,PFP,1
99,,give,1
100,,value,1
101,,waste,1
102,,anyways,1
103,,let,1
104,,tweets,1
105,,lagging,1
106,,MTV,1
107,,TRIAS,1
108,,higher,1
109,,couple,1
110,,near,1
111,,lows,1
112,,Another,1
113,,top,1
114,,RIO,1
115,,others,1
116,,start,1
117,,well,1
118,,break,1
119,,milly,1
120,,substantially,1
121,,Parents,1
122,,update,1
123,,gainer,1
124,,maxis,1
125,,singlehandedly,1
126,,carrying,1
127,,lately,1
128,,touched,1
129,,almost,1
130,,700k,1
131,,even,1
132,,dipped,1
133,,ish,1
134,,expect,1
135,,soon,1
136,,alts,1
137,,outperforming,1
138,,hit,1
139,,1m,1
140,,Considering,1
141,,ukCskLp3FH,1
142,,Sexy,1
143,,Sunday,1
144,,everyone,1
145,,reading,1
146,,share,1
147,,private,1
148,,data,1
149,,everywhere,1
150,,internet,1
151,,dumbass,1
152,,smartwatch,1
153,,pūta,1
154,,Learn,1
155,,ultra,1
156,,rich,1
157,,richer,1
158,,Elon,1
159,,Musk,1
160,,Invisibility,1
161,,superpower,1
162,,Plan,1
163,,ahead,1
164,,exit,1
165,,strategy,1
166,,place,1
167,,disappear,1
168,,grid,1
169,,Almost,1
170,,memes,1
171,,giga,1
172,,send,1
173,,hope,1
174,,listening,1
175,,filled,1
176,,degen,1
177,,wallets,1
178,,brewing,1
179,,weekend,1
180,,frens,1
181,,Note,1
182,,scenario,1
183,,likely,1
184,,inplay,1
185,,lose,1
186,,42k,1
187,,know,1
188,,lot,1
189,,used,1
190,,lmfao,1
191,,tradeooors,1
192,,understand,1
193,,look,1
194,,support,1
195,,band,1
196,,p,1
197,,much,1
198,,rising,1
199,,day,1
200,,past,1
201,,cycles,1
202,,came,1
203,,test,1
204,,times,1
205,,liquidity,1
206,,QQ35OmtOOr,1
