,profiles,kw,count
0,dcfgod,co,8
1,,holders,4
2,,eth,4
3,,got,2
4,,launch,2
5,,team,2
6,,project,2
7,,points,2
8,,farming,2
9,,ago,2
10,,staking,2
11,,stablecoin,2
12,,token,2
13,,see,2
14,,bong,2
15,,44E,2
16,,6E,2
17,,Almost,1
18,,liqd,1
19,,ty,1
20,,SafeRatios,1
21,,save,1
22,,Remember,1
23,,pay,1
24,,ohm,1
25,,cooler,1
26,,loans,1
27,,expire,1
28,,em,1
29,,fFNqYaT3hG,1
30,,seen,1
31,,well,1
32,,ondo,1
33,,went,1
34,,Props,1
35,,nathanlallman,1
36,,Biggest,1
37,,RWA,1
38,,space,1
39,,much,1
40,,come,1
41,,nearly,1
42,,2bn,1
43,,fdv,1
44,,probably,1
45,,worth,1
46,,campaign,1
47,,started,1
48,,days,1
49,,give,1
50,,2nd,1
51,,look,1
52,,crushing,1
53,,congrats,1
54,,YT,1
55,,eigenlayer,1
56,,etherfi,1
57,,Basically,1
58,,people,1
59,,giving,1
60,,PT,1
61,,exchange,1
62,,airdrop,1
63,,gains,1
64,,claimed,1
65,,OndoPoints,1
66,,OndoFoundation,1
67,,issuers,1
68,,keep,1
69,,interest,1
70,,Ondo,1
71,,designed,1
72,,products,1
73,,share,1
74,,yield,1
75,,held,1
76,,eligible,1
77,,Claim,1
78,,c7naS5ch65,1
79,,rabby,1
80,,approval,1
81,,ui,1
82,,broken,1
83,,anyone,1
84,,use,1
85,,bungee,1
86,,dont,1
87,,contract,1
88,,approvals,1
89,,fret,1
90,,Turns,1
91,,UI,1
92,,great,1
93,,job,1
94,,approving,1
95,,amt,1
96,,sending,1
97,,unlimited,1
98,,freaking,1
99,,Think,1
100,,appreciated,1
101,,apxeth,1
102,,yields,1
103,,gov,1
104,,leverage,1
105,,validators,1
106,,Printing,1
107,,5x,1
108,,higher,1
109,,leading,1
110,,LSTs,1
111,,Good,1
112,,dcf,1
113,,cap,1
114,,seeded,1
115,,S6nDV7aYxC,1
116,,love,1
117,,teaser,1
118,,video,1
119,,glad,1
120,,finally,1
121,,launching,1
122,,gotta,1
123,,thrust,1
124,,blast,1
125,,extremely,1
126,,excited,1
127,,one,1
128,,Bro,1
129,,lying,1
130,,vpmQG9X8G2,1
131,,lol,1
132,,A0PhGfkqdn,1
133,,methlabxyz,1
134,,interface,1
135,,best,1
136,,thing,1
137,,curve,1
138,,XsMtouJsUy,1
139,,single,1
140,,bear,1
141,,minted,1
142,,0694E,1
143,,2y,1
144,,resulted,1
145,,rebases,1
146,,bond,1
147,,boo,1
148,,baby,1
149,,band,1
150,,bit,1
151,,50E,1
152,,total,1
153,,value,1
154,,24E,1
155,,today,1
156,,3800x,1
157,,chain,1
158,,even,1
159,,yet,1
160,,snapshot,1
161,,696gH41J8H,1
162,,gm,1
163,,AnataNFT,1
164,,sure,1
165,,vote,1
166,,lootboxes,1
167,,physical,1
168,,jackets,1
169,,plushies,1
170,,ef1h6MAVQ1,1
171,,ConcaveFi,1
172,,may,1
173,,actually,1
174,,omega,1
175,,W,1
176,,everyone,1
177,,given,1
178,,fjord,1
179,,investment,1
