,profiles,kw,count
0,defi_gojo,co,6
1,,hasnt,2
2,,bridge,2
3,,think,1
4,,cant,1
5,,go,1
6,,35k,1
7,,anon,1
8,,Satashi,1
9,,even,1
10,,started,1
11,,increasing,1
12,,bitcoin,1
13,,supply,1
14,,kPDOMoqjjo,1
15,,deserve,1
16,,fig,1
17,,airdrops,1
18,,EUBNj3wUHI,1
19,,Engagement,1
20,,low,1
21,,Watch,1
22,,Pudgy,1
23,,Penguins,1
24,,wif,1
25,,reaches,1
26,,dead,1
27,,rest,1
28,,year,1
29,,bonk,1
30,,years,1
31,,inversebrah,1
32,,still,1
33,,followed,1
34,,gojo,1
35,,smol,1
36,,shid,1
37,,needs,1
38,,fix,1
39,,dis,1
40,,asap,1
41,,iwo,1
42,,lGdJO1rXzw,1
43,,BREAKING,1
44,,Stuart,1
45,,Little,1
46,,named,1
47,,Epstein,1
48,,client,1
49,,list,1
50,,oCsfBVa4Yw,1
51,,use,1
52,,move,1
53,,funds,1
54,,bro,1
55,,yxTKnq5M0G,1
56,,Buying,1
57,,memecoins,1
58,,Avax,1
59,,XPSuNMEdeL,1
