,profiles,kw,count
0,defi_mochi,ETH,11
1,,RT,10
2,,PENDLE,8
3,,pendle_fi,7
4,,yield,7
5,,Restaking,5
6,,tokens,4
7,,co,4
8,,LRTfi,4
9,,rewards,3
10,,trading,3
11,,volume,3
12,,Liquid,3
13,,restaked,3
14,,eigenlayer,3
15,,gt,3
16,,one,3
17,,Penpiexyz_io,2
18,,MEF,2
19,,team,2
20,,chain,2
21,,TVL,2
22,,Mochi,2
23,,bullish,2
24,,tn_pendle,2
25,,0xSami_,2
26,,months,2
27,,eETH,2
28,,ether_fi,2
29,,opportunity,2
30,,earn,2
31,,new,2
32,,biggest,2
33,,Highest,2
34,,smolgoingbig,1
35,,Memecoins,1
36,,brought,1
37,,eyeballs,1
38,,liquidity,1
39,,chains,1
40,,AVAX,1
41,,COQ,1
42,,SOL,1
43,,BONK,1
44,,WIF,1
45,,BASE,1
46,,BALD,1
47,,TOSHI,1
48,,LINEA,1
49,,Penpie,1
50,,Bribery,1
51,,Market,1
52,,erupts,1
53,,scorching,1
54,,voters,1
55,,addition,1
56,,25K,1
57,,worth,1
58,,bribe,1
59,,ethe,1
60,,cooking,1
61,,First,1
62,,memecoin,1
63,,follows,1
64,,coq,1
65,,model,1
66,,LP'ed,1
67,,stealth,1
68,,launch,1
69,,zero,1
70,,presale,1
71,,allocations,1
72,,Great,1
73,,memes,1
74,,2b,1
75,,market,1
76,,cap,1
77,,2m,1
78,,MC,1
79,,ja8J4vUGxI,1
80,,Mef_Coin,1
81,,Yo,1
82,,gametheorizing,1
83,,maxing,1
84,,NNNRJSAweq,1
85,,GM,1
86,,time,1
87,,high,1
88,,dollar,1
89,,terms,1
90,,Daily,1
91,,exceeded,1
92,,550M,1
93,,cumulative,1
94,,Hist,1
95,,Institutions,1
96,,Excellent,1
97,,stats,1
98,,across,1
99,,board,1
100,,Random,1
101,,tweet,1
102,,founders,1
103,,mega,1
104,,juliankoh,1
105,,AEVO,1
106,,BTRFLY,1
107,,positions,1
108,,ofc,1
109,,Gonna,1
110,,revisit,1
111,,today,1
112,,someone,1
113,,told,1
114,,lsd,1
115,,space,1
116,,lidos,1
117,,taking,1
118,,sure,1
119,,tvl,1
120,,sticky,1
121,,guarantee,1
122,,monetize,1
123,,STIP,1
124,,RUSH,1
125,,live,1
126,,arbitrum,1
127,,convert,1
128,,mPENDLE,1
129,,CryptoNikyous,1
130,,SSV,1
131,,pumping,1
132,,keep,1
133,,eye,1
134,,RSTK,1
135,,well,1
136,,part,1
137,,Narrative,1
138,,People,1
139,,note,1
140,,ambassador,1
141,,substantial,1
142,,position,1
143,,learn,1
144,,compounding,1
145,,points,1
146,,Currently,1
147,,two,1
148,,protocols,1
149,,support,1
150,,usage,1
151,,assets,1
152,,namely,1
153,,sommfinance,1
154,,offers,1
155,,restakers,1
156,,fees,1
157,,LPing,1
158,,allows,1
159,,stakers,1
160,,restake,1
161,,extending,1
162,,security,1
163,,opening,1
164,,opportunities,1
165,,staking,1
166,,additional,1
167,,Points,1
168,,Tokens,1
169,,example,1
170,,Jpr17a4XKs,1
171,,currently,1
172,,32b,1
173,,liquid,1
174,,staked,1
175,,6b,1
176,,enough,1
177,,obvious,1
178,,20x,1
179,,Enter,1
180,,narrative,1
181,,4pPXjcLqCs,1
182,,underestimates,1
183,,lt,1
184,,DDangleDan,1
185,,fixed,1
186,,APY,1
187,,DeFi,1
188,,right,1
189,,Even,1
190,,deposit,1
191,,price,1
192,,impact,1
193,,brings,1
194,,still,1
195,,talking,1
196,,SUI,1
197,,reasons,1
198,,impressed,1
199,,Bridge,1
200,,Volume,1
201,,Wormhole,1
202,,240k,1
203,,TPS,1
204,,Able,1
205,,handle,1
206,,inscriptions,1
207,,without,1
208,,issues,1
209,,Sleek,1
210,,user,1
211,,experience,1
212,,huge,1
213,,developer,1
214,,base,1
215,,undervalued,1
216,,Price,1
217,,Rumors,1
218,,circulating,1
219,,exploit,1
220,,unfounded,1
221,,assessed,1
222,,situation,1
223,,confirm,1
224,,h,1
225,,defi_mochi,1
226,,catalysts,1
227,,coming,1
228,,ETF,1
229,,Larry,1
230,,Fink,1
231,,BlackRock,1
232,,CEO,1
233,,bullposting,1
234,,EIP,1
235,,Proto,1
