,profiles,kw,count
0,desoprotocol,co,5
1,,Focus,5
2,,bonus,4
3,,tokens,4
4,,reserve,3
5,,new,2
6,,period,2
7,,time,2
8,,extension,2
9,,Head,2
10,,BtsTtCD5J0,2
11,,started,2
12,,week,2
13,,Less,2
14,,social,2
15,,media,2
16,,getting,2
17,,end,1
18,,11am,1
19,,EST,1
20,,January,1
21,,25th,1
22,,Learn,1
23,,founder,1
24,,nadertheory,1
25,,granted,1
26,,one,1
27,,gSn4yTUxRn,1
28,,Check,1
29,,video,1
30,,tutorial,1
31,,learn,1
32,,1FsHhGMhX1,1
33,,good,1
34,,news,1
35,,extending,1
36,,additional,1
37,,gives,1
38,,receive,1
39,,take,1
40,,advantage,1
41,,opportunity,1
42,,reserving,1
43,,Follow,1
44,,desoprotocol,1
45,,stay,1
46,,date,1
47,,things,1
48,,DeSo,1
49,,related,1
50,,hours,1
51,,remain,1
52,,earn,1
53,,FREE,1
54,,airdrop,1
55,,SocialFi,1
56,,app,1
57,,aims,1
58,,disrupt,1
59,,trillion,1
60,,dollar,1
61,,market,1
62,,creator,1
63,,economy,1
64,,Million,1
65,,reserved,1
66,,Reserve,1
67,,s9VWKYUQMY,1
68,,momentum,1
69,,stronger,1
70,,aim,1
71,,bring,1
72,,decentralized,1
73,,masses,1
74,,focused,1
