,profiles,kw,count
0,discreet,RT,2
1,,FrederikMarkor,2
2,,swarm,2
3,,month,2
4,,ready,2
5,,ArgentisLab,1
6,,thanks,1
7,,donation,1
8,,devote,1
9,,large,1
10,,amount,1
11,,computational,1
12,,power,1
13,,find,1
14,,optimal,1
15,,dedicated,1
16,,machines,1
17,,gigabytes,1
18,,RAM,1
19,,TB,1
20,,storage,1
21,,Gbps,1
22,,uplink,1
23,,mixed,1
24,,AMD,1
25,,Intel,1
26,,platforms,1
27,,Used,1
28,,tests,1
29,,AWS,1
30,,Hetzner,1
31,,Alibaba,1
32,,Cloud,1
33,,amp,1
34,,OVH,1
35,,Update,1
36,,key,1
37,,figures,1
38,,relevant,1
39,,validators,1
40,,found,1
41,,Expected,1
42,,server,1
43,,costs,1
44,,avg,1
45,,intercontinental,1
46,,cross,1
47,,provider,1
48,,USD,1
49,,network,1
50,,validate,1
51,,tx,1
52,,instant,1
53,,finality,1
54,,configurations,1
55,,Paper,1
56,,coming,1
57,,testnet,1
58,,scheduled,1
59,,first,1
60,,version,1
61,,discreet,1
62,,mainnet',1
63,,e,1
