,profiles,kw,count
0,etheraael,RT,5
1,,co,3
2,,trend,2
3,,gregosuri,1
4,,Akash,1
5,,core,1
6,,team,1
7,,proposes,1
8,,distribute,1
9,,million,1
10,,AKT,1
11,,incentivize,1
12,,high,1
13,,density,1
14,,GPU,1
15,,supply,1
16,,network,1
17,,Snowden,1
18,,Wild,1
19,,SECGov,1
20,,approving,1
21,,Bitcoin,1
22,,ETF,1
23,,took,1
24,,transform,1
25,,CEO,1
26,,JPMorgan,1
27,,King,1
28,,Money,1
29,,th,1
30,,Nice,1
31,,one,1
32,,0xfoobar,1
33,,Batch,1
34,,Transactions,1
35,,EOAs,1
36,,NGElWEnUmU,1
37,,NVDA,1
38,,looks,1
39,,consolidate,1
40,,happening,1
41,,across,1
42,,multiple,1
43,,timeframes,1
44,,moreso,1
45,,couple,1
46,,days,1
47,,ago,1
48,,looking,1
49,,ColdBloodShill,1
50,,BoredElonMusk,1
51,,Current,1
52,,status,1
53,,society,1
54,,a1FzDlmVwT,1
55,,SOL,1
56,,new,1
57,,BNB,1
58,,Got,1
59,,timeline,1
60,,ChatGPT,1
61,,etc,1
62,,essentially,1
63,,free,1
64,,people,1
65,,still,1
66,,replies,1
67,,asking,1
68,,resources,1
69,,agree,1
70,,points,1
71,,add,1
72,,music,1
73,,list,1
74,,bindureddy,1
75,,robot,1
76,,revolution,1
77,,come,1
78,,soon,1
79,,enough,1
80,,humans,1
81,,wait,1
82,,longer,1
83,,ZaNhT1GdJt,1
84,,SatoshiFlipper,1
85,,Michael,1
86,,Jordan,1
87,,Wall,1
88,,Street,1
89,,shilling,1
90,,BTC,1
91,,ETH,1
92,,American,1
93,,boomers,1
94,,holding,1
95,,10T,1
96,,cash,1
97,,bet,1
