,profiles,kw,count
0,fawoz_,much,3
1,,co,3
2,,better,2
3,,still,2
4,,SAVM,1
5,,higher,1
6,,circ,1
7,,mcap,1
8,,ONDO,1
9,,sympathize,1
10,,people,1
11,,shill,1
12,,bags,1
13,,discuss,1
14,,edges,1
15,,thesis,1
16,,likely,1
17,,bring,1
18,,objective,1
19,,POV,1
20,,biased,1
21,,one,1
22,,mob,1
23,,mf,1
24,,rapping,1
25,,full,1
26,,time,1
27,,outperforms,1
28,,CT,1
29,,Metamask,1
30,,users,1
31,,waiting,1
32,,airdrop,1
33,,decade,1
34,,Rabby_io,1
35,,product,1
36,,going,1
37,,generous,1
38,,us,1
39,,degens,1
40,,guys,1
41,,tip,1
42,,private,1
43,,bus,1
44,,driver,1
45,,got,1
46,,V7mc1wdWr3,1
47,,quite,1
48,,useful,1
49,,4TJ90CNsQk,1
50,,bother,1
51,,ask,1
52,,chatGPT,1
53,,I1TH4kth38,1
54,,watched,1
55,,bunch,1
56,,Huberman,1
57,,podcasts,1
58,,Anyone,1
59,,tried,1
60,,meditation,1
61,,improve,1
62,,focus,1
63,,anything,1
64,,stay,1
65,,focused,1
66,,longer,1
