,profiles,kw,count
0,flipsidecrypto,RT,9
1,,data,9
2,,good,9
3,,amp,8
4,,public,8
5,,plan,7
6,,co,6
7,,building,6
8,,Builder,6
9,,build,5
10,,help,4
11,,Flipside,4
12,,Onchain,3
13,,team,3
14,,Data,3
15,,flipsidecrypto,3
16,,Pro,3
17,,community,3
18,,make,3
19,,devs,3
20,,free,3
21,,scale,3
22,,giving,3
23,,new,3
24,,issue,2
25,,Culture,2
26,,ibcflan,2
27,,proud,2
28,,dashboard,2
29,,Free,2
30,,choose,2
31,,video,2
32,,right,2
33,,yes,2
34,,AI,2
35,,us,2
36,,Transparency,2
37,,exist,2
38,,without,2
39,,critical,2
40,,resource,2
41,,dapps,2
42,,flow_blockchain,2
43,,paid,2
44,,profit,2
45,,access,2
46,,onchain,2
47,,one,2
48,,queries,2
49,,business,2
50,,plans,2
51,,revenue,2
52,,back,2
53,,launch,2
54,,launching,2
55,,small,2
56,,teams,2
57,,solo,2
58,,ecosystems,2
59,,tokens,2
60,,expensive,2
61,,TESTING,2
62,,ournetwork__,1
63,,Celebrating,1
64,,200th,1
65,,Mega,1
66,,Link,1
67,,Read,1
68,,y02N8mHbBt,1
69,,queriesdata,1
70,,convos,1
71,,vagueness,1
72,,hype,1
73,,solid,1
74,,instead,1
75,,Grab,1
76,,analytical,1
77,,takes,1
78,,NFTs,1
79,,social,1
80,,ga,1
81,,Plans,1
82,,people,1
83,,b5wgcqs8zh,1
84,,mission,1
85,,Aptos_Network,1
86,,track,1
87,,KPIs,1
88,,usage,1
89,,Thanks,1
90,,supporting,1
91,,go,1
92,,wrong,1
93,,8ZJBcymS8a,1
94,,made,1
95,,company,1
96,,Tha,1
97,,Moves,1
98,,partnered,1
99,,consistently,1
100,,suppor,1
101,,sure,1
102,,Try,1
103,,days,1
104,,non,1
105,,developer,1
106,,got,1
107,,apply,1
108,,9vyjv1AiY7,1
109,,newest,1
110,,way,1
111,,choices,1
112,,designed,1
113,,meet,1
114,,goals,1
115,,unlimited,1
116,,dashboards,1
117,,analysts,1
118,,never,1
119,,charge,1
120,,CSVs,1
121,,power,1
122,,apps,1
123,,eJxA8KP7r0,1
124,,exception,1
125,,analyst,1
126,,rewards,1
127,,programs,1
128,,either,1
129,,need,1
130,,speeds,1
131,,average,1
132,,person,1
133,,faster,1
134,,compute,1
135,,programmatic,1
136,,exports,1
137,,priority,1
138,,API,1
139,,credits,1
140,,mo,1
141,,perfect,1
142,,projects,1
143,,keep,1
144,,even,1
145,,easier,1
146,,accessible,1
147,,partner,1
148,,SeiNetwork,1
149,,solana,1
150,,avax,1
151,,0xPolygonLabs,1
152,,NEARProtocol,1
153,,others,1
154,,delegate,1
155,,stake,1
156,,create,1
157,,yield,1
158,,cover,1
159,,costs,1
160,,layer,1
161,,human,1
162,,readable,1
163,,easy,1
164,,web3,1
165,,org,1
166,,goal,1
167,,thrive,1
168,,everyone,1
169,,tools,1
170,,DYOR,1
171,,stay,1
172,,informed,1
173,,ahead,1
174,,trends,1
175,,processing,1
176,,million,1
177,,txs,1
178,,hr,1
179,,500k,1
180,,day,1
181,,gets,1
182,,figures,1
183,,sustainable,1
184,,developers,1
185,,approach,1
186,,MlukYNmySO,1
187,,DLN_Trade,1
188,,Damn,1
189,,looks,1
190,,Flipsidecrypto,1
191,,Introducing,1
192,,brand,1
193,,crafted,1
194,,love,1
195,,fknmarqu,1
196,,thing,1
197,,working,1
198,,mock,1
199,,party,1
200,,final,1
201,,preparations,1
202,,REAL,1
203,,JUP,1
204,,runetothamoon,1
205,,THREAD,1
206,,far,1
207,,THORChain,1
208,,come,1
209,,RUNE,1
210,,hit,1
211,,time,1
212,,high,1
213,,price,1
214,,May,1
215,,Many,1
216,,ju,1
