,profiles,kw,count
0,foundxyz,claim,10
1,,FTX,6
2,,co,4
3,,pool,4
4,,69c,3
5,,small,3
6,,bankruptcy,2
7,,claims,2
8,,points,2
9,,another,2
10,,us,2
11,,NEW,2
12,,66K,2
13,,ask,2
14,,trending,1
15,,Coinbase,1
16,,marketplace,1
17,,bingo,1
18,,card,1
19,,Tokenized,1
20,,RWA,1
21,,VZJs3Djjwh,1
22,,Imagine,1
23,,farming,1
24,,excited,1
25,,announce,1
26,,putting,1
27,,together,1
28,,large,1
29,,DaxxTrader,1
30,,Pooling,1
31,,obviously,1
32,,works,1
33,,chance,1
34,,join,1
35,,setting,1
36,,price,1
37,,record,1
38,,DM,1
39,,telegram,1
40,,link,1
41,,1sypEjC2IC,1
42,,BREAKING,1
43,,SETS,1
44,,PRICE,1
45,,RECORD,1
46,,gets,1
47,,sale,1
48,,Actual,1
49,,reaction,1
50,,big,1
51,,buyer,1
52,,time,1
53,,high,1
54,,Total,1
55,,size,1
56,,650K,1
57,,Full,1
58,,breakdown,1
59,,5Dp3T0vfJI,1
60,,Market,1
61,,nowhere,1
62,,near,1
63,,XCLAIM,1
64,,60c,1
65,,100K,1
66,,1M,1
67,,70c,1
68,,got,1
69,,supposed,1
70,,much,1
71,,run,1
72,,turbo,1
73,,open,1
74,,competitive,1
75,,sales,1
76,,process,1
77,,mmdGM000pi,1
78,,Started,1
79,,tokenizing,1
80,,cool,1
81,,10X,1
82,,growth,1
83,,TVL,1
84,,month,1
85,,2M,1
86,,20M,1
87,,way,1
88,,farm,1
89,,Onboarding,1
90,,TradFi,1
91,,funds,1
92,,blockchain,1
93,,want,1
94,,build,1
95,,debt,1
96,,solution,1
97,,Bullish,1
98,,AF,1
99,,team,1
100,,mission,1
