,profiles,kw,count
0,fuckyourputs,RT,8
1,,co,5
2,,think,2
3,,people,2
4,,Week,2
5,,ShitpostGate,1
6,,jGHrzdsJ5f,1
7,,supposed,1
8,,dump,1
9,,Tuesday,1
10,,wtf,1
11,,firms,1
12,,trading,1
13,,based,1
14,,PE,1
15,,models,1
16,,relation,1
17,,eth,1
18,,price,1
19,,KANAV,1
20,,time,1
21,,sol,1
22,,go,1
23,,btc,1
24,,chops,1
25,,lev,1
26,,longs,1
27,,wiped,1
28,,one,1
29,,year,1
30,,uni,1
31,,avoid,1
32,,WORST,1
33,,university,1
34,,experience,1
35,,man,1
36,,experienced,1
37,,MoonOverlord,1
38,,honestly,1
39,,gross,1
40,,much,1
41,,sports,1
42,,betting,1
43,,shoved,1
44,,everyones,1
45,,throats,1
46,,right,1
47,,many,1
48,,normie,1
49,,friends,1
50,,arachnophobia,1
51,,living,1
52,,australia,1
53,,tried,1
54,,save,1
55,,huntsman,1
56,,accidentally,1
57,,decapitated,1
58,,head,1
59,,trauma,1
60,,nothing,1
61,,love,1
62,,post,1
63,,coin,1
64,,hmmm0100,1
65,,Cryptocurrency,1
66,,QIMRh1nGlU,1
67,,CAmYT7roDX,1
68,,CL207,1
69,,docXBT,1
70,,ta,1
71,,meme,1
72,,mkt,1
73,,structure,1
74,,timing,1
75,,wise,1
76,,cat,1
77,,hopefully,1
78,,without,1
79,,new,1
80,,virus,1
81,,lmeow,1
82,,safe,1
83,,stake,1
84,,Tia,1
85,,short,1
86,,exchanges,1
87,,feels,1
88,,roundtrip,1
89,,WRjG9xXDBn,1
90,,ArkhamIntel,1
91,,Looks,1
92,,Celsius,1
93,,took,1
94,,opportunity,1
95,,unload,1
96,,gt,1
97,,125M,1
98,,ETH,1
99,,ETF,1
100,,past,1
101,,deposited,1
102,,5M,1
103,,lots,1
104,,interesting,1
105,,articles,1
106,,guy,1
107,,learnt,1
108,,stuff,1
109,,latency,1
110,,fCo2Piuxql,1
111,,wassie_hunter,1
112,,hungry,1
113,,wasser,1
114,,dragonrbrn,1
115,,outperformed,1
116,,BTC,1
117,,Kinda,1
118,,happy,1
119,,L1s,1
120,,lsds,1
121,,overshadowed,1
122,,ai,1
123,,vaporware,1
124,,recently,1
125,,crypto,1
126,,devastated,1
127,,worldcoin,1
128,,bull,1
129,,thesis,1
130,,complete,1
131,,SHAMBLES,1
132,,hokeone,1
133,,gpt,1
134,,week,1
135,,guess,1
136,,care,1
137,,ensuring,1
138,,data,1
139,,available,1
