,profiles,kw,count
0,galaxy_sidus,co,7
1,,Sidus,3
2,,drop,3
3,,Bank,3
4,,made,2
5,,Nidum,2
6,,SIDUS,2
7,,time,2
8,,updates,2
9,,Great,2
10,,New,1
11,,Year,1
12,,Book,1
13,,Hunt,1
14,,wrap,1
15,,Top,1
16,,Leaderboard,1
17,,players,1
18,,completed,1
19,,form,1
20,,thus,1
21,,eligible,1
22,,prizes,1
23,,First,1
24,,Kind',1
25,,hard,1
26,,copy,1
27,,Exclusive,1
28,,HEROES,1
29,,Shirt,1
30,,See,1
31,,SfYpcs0VDE,1
32,,Winners,1
33,,check,1
34,,emails,1
35,,Respond,1
36,,jDcnSa1GIU,1
37,,Sidusians,1
38,,Continuing,1
39,,economic,1
40,,stabilization,1
41,,exciting,1
42,,changes,1
43,,Team,1
44,,Bonus,1
45,,system,1
46,,new,1
47,,rules,1
48,,implemented,1
49,,Basic,1
50,,remains,1
51,,unchanged,1
52,,Check,1
53,,updated,1
54,,scheme,1
55,,wiki,1
56,,ZcuoYXHQ9X,1
57,,opmtMEXSF9,1
58,,Revolution,1
59,,Replicants,1
60,,available,1
61,,Marketplace,1
62,,Teller,1
63,,License,1
64,,owners,1
65,,seize,1
66,,chance,1
67,,Legendary,1
68,,one,1
69,,Explore,1
70,,prices,1
71,,RcoogLWFZm,1
72,,Auctions,1
73,,temporarily,1
74,,suspended,1
75,,January,1
76,,Stay,1
77,,tuned,1
78,,better,1
79,,functionality,1
80,,H7wUJ4wLz9,1
81,,officially,1
82,,running,1
83,,withdraw,1
84,,tokens,1
85,,outside,1
86,,metaverse,1
87,,whenever,1
88,,want,1
89,,Let,1
90,,share,1
91,,metrics,1
92,,accomplished,1
93,,first,1
94,,days,1
95,,withdrawals,1
96,,total,1
97,,processing,1
98,,hours,1
99,,FsJVqCteT1,1
100,,SIDUSPAD,1
101,,soon,1
102,,make,1
103,,announcement,1
104,,details,1
105,,regarding,1
106,,Tiers,1
107,,many,1
108,,crucial,1
109,,things,1
110,,take,1
111,,video,1
112,,ZssBecker,1
113,,Awesome,1
114,,see,1
115,,list,1
116,,waiting,1
117,,Exciting,1
118,,news,1
119,,way,1
120,,Patience,1
121,,key,1
