,profiles,kw,count
0,galaxyhq,co,5
1,,crypto,4
2,,Bitcoin,3
3,,ETF,3
4,,asset,3
5,,intangiblecoins,3
6,,bitcoin,3
7,,year,3
8,,CBOE,2
9,,Invesco,2
10,,Galaxy,2
11,,digital,2
12,,RT,2
13,,week,2
14,,inflows,2
15,,market,2
16,,Podcasts,2
17,,Co,2
18,,privacy,2
19,,US,2
20,,capital,2
21,,surge,2
22,,Ringing,1
23,,bell,1
24,,heralded,1
25,,debut,1
26,,blending,1
27,,expertise,1
28,,dynamic,1
29,,sector,1
30,,InvescoUS,1
31,,innovative,1
32,,track,1
33,,record,1
34,,offer,1
35,,secure,1
36,,direct,1
37,,exposure,1
38,,potential,1
39,,U96yg1QDo2,1
40,,packed,1
41,,house,1
42,,celebrated,1
43,,last,1
44,,launch,1
45,,BTCO,1
46,,ringing,1
47,,ceremony,1
48,,galaxyhq,1
49,,BTC,1
50,,Pressure,1
51,,Grayscale,1
52,,Selling,1
53,,Tune,1
54,,timely,1
55,,discussion,1
56,,BeimnetAbebe,1
57,,centered,1
58,,reality,1
59,,monetary,1
60,,explore,1
61,,scarcity,1
62,,immediate,1
63,,catalysts,1
64,,impact,1
65,,changing,1
66,,macroeconomic,1
67,,conditions,1
68,,Google,1
69,,ggXFo6IP7o,1
70,,episode,1
71,,GalaxyBrainsPodcast,1
72,,joined,1
73,,CasaHODL,1
74,,Founder,1
75,,CTO,1
76,,lopp,1
77,,discuss,1
78,,culture,1
79,,evolution,1
80,,technology,1
81,,talk,1
82,,importance,1
83,,protection,1
84,,significance,1
85,,voRwXr3TRI,1
86,,Apple,1
87,,haKs6k9gF4,1
88,,christine_dkim,1
89,,Quick,1
90,,update,1
91,,ACD,1
92,,call,1
93,,today,1
94,,Cancun,1
95,,Deneb,1
96,,upgrade,1
97,,Sepolia,1
98,,Holesky,1
99,,testnets,1
100,,remain,1
101,,scheduled,1
102,,activati,1
103,,Read,1
104,,full,1
105,,report,1
106,,hiroto_btc,1
107,,9ghHxD41z8,1
108,,continues,1
109,,dominate,1
110,,startup,1
111,,scene,1
112,,leading,1
113,,deals,1
114,,Yet,1
115,,regulatory,1
116,,hurdles,1
117,,loom,1
118,,potentially,1
119,,driving,1
120,,companies,1
121,,overseas,1
122,,vital,1
123,,policymakers,1
124,,weigh,1
125,,moves,1
126,,carefully,1
127,,keep,1
128,,America,1
129,,forefront,1
130,,tech,1
131,,innovation,1
132,,concluded,1
133,,third,1
134,,VC,1
135,,investment,1
136,,two,1
137,,prior,1
138,,industry,1
139,,seems,1
140,,set,1
141,,central,1
142,,banks,1
143,,poised,1
144,,ease,1
145,,combination,1
146,,lead,1
147,,renewed,1
148,,interest,1
149,,venture,1
150,,key,1
151,,forget,1
152,,subscribe,1
153,,RB6W93iOxp,1
154,,Dominating,1
155,,eclipsed,1
156,,giants,1
157,,Berkshire,1
158,,Hathaway,1
159,,Tesla,1
160,,cap,1
161,,New,1
162,,heights,1
163,,user,1
164,,base,1
165,,expanded,1
166,,blockchain,1
167,,utility,1
168,,Ordinals,1
169,,soaring,1
170,,NFT,1
171,,sales,1
172,,mark,1
173,,landmark,1
174,,Interested,1
