,profiles,kw,count
0,gasdotzip,co,4
1,,chain,3
2,,bridge,3
3,,RT,3
4,,gasdotzip,3
5,,chains,2
6,,Launch,2
7,,Testnet,2
8,,Blast,2
9,,L2,2
10,,today,2
11,,LayerZero_Labs,2
12,,cool,2
13,,Gas,2
14,,Hour,1
15,,Top,1
16,,Bridged,1
17,,gnosischain,1
18,,BSC,1
19,,Coredao_Org,1
20,,MoonbeamNetwork,1
21,,markets,1
22,,chop,1
23,,farmers,1
24,,increasing,1
25,,volume,1
26,,multi,1
27,,ONln5pP3RA,1
28,,FIP_Crypto,1
29,,best,1
30,,platform,1
31,,used,1
32,,gas,1
33,,niche,1
34,,Plus,1
35,,use,1
36,,powered,1
37,,LayerZ,1
38,,itszore,1
39,,bitbotics,1
40,,New,1
41,,Chain,1
42,,Blast_L2,1
43,,native,1
44,,yield,1
45,,3B,1
46,,TVL,1
47,,120k,1
48,,users,1
49,,eagerly,1
50,,awaiting,1
51,,releases,1
52,,Sepolia,1
53,,everyone,1
54,,try,1
55,,Test,1
56,,newest,1
57,,5Eml3DLQUH,1
58,,20Iet1uyPk,1
59,,0xFloyd,1
60,,thanks,1
61,,amazing,1
62,,app,1
63,,btw,1
64,,annoying,1
65,,thing,1
66,,bridging,1
67,,assets,1
68,,new,1
69,,Excited,1
70,,see,1
71,,officially,1
72,,added,1
73,,Scan,1
74,,Remember,1
75,,offer,1
76,,multiple,1
77,,destination,1
78,,one,1
79,,transaction,1
80,,Trl4Eqv0eM,1
