,profiles,kw,count
0,goldilocksmoney,co,4
1,,tones,3
2,,part,2
3,,Goldilend,1
4,,one,1
5,,massive,1
6,,coordinated,1
7,,campaign,1
8,,capture,1
9,,chain,1
10,,value,1
11,,BongBearsNFT,1
12,,rebases,1
13,,gud,1
14,,Zf89ohygis,1
15,,immaculate,1
16,,FnQ6gXHyVC,1
17,,Yield,1
18,,Splitting,1
19,,3KyVlJxTds,1
20,,Kodiak,1
21,,L2,1
22,,scaling,1
23,,solution,1
24,,built,1
25,,top,1
26,,Betachain,1
27,,using,1
28,,eatsleepyeet,1
29,,gas,1
30,,goldilocksmoney,1
31,,mortgage,1
32,,beradrome,1
33,,bribing,1
34,,landlord,1
35,,SmokeyTheBera,1
36,,BeratoneGame,1
37,,Beramonium,1
38,,consensus,1
39,,game,1
40,,engines,1
41,,InfraredFinance,1
42,,liquid,1
43,,milkshaking,1
44,,bera,1
45,,best,1
46,,Well,1
47,,go,1
48,,h9nJYalg44,1
49,,whole,1
50,,lotta,1
51,,gang,1
52,,shit,1
