,profiles,kw,count
0,goshen_network,co,5
1,,Goshen,3
2,,week,3
3,,community,3
4,,Bitcoin,2
5,,Community,2
6,,weekly,2
7,,call,2
8,,miss,2
9,,ENqZf196ca,2
10,,recent,1
11,,approval,1
12,,ETF,1
13,,game,1
14,,changer,1
15,,legitimizes,1
16,,digital,1
17,,assets,1
18,,eyes,1
19,,traditional,1
20,,finance,1
21,,injects,1
22,,newfound,1
23,,confidence,1
24,,market,1
25,,particularly,1
26,,bullish,1
27,,signal,1
28,,EVM,1
29,,layer,1
30,,RT,1
31,,OntologyNetwork,1
32,,Mark,1
33,,Calendars,1
34,,Ontology,1
35,,Weekly,1
36,,Catch,1
37,,Clare,1
38,,Friday,1
39,,grab,1
40,,chance,1
41,,Due,1
42,,Ethereum,1
43,,latest,1
44,,Dencun,1
45,,update,1
46,,testnet,1
47,,migrating,1
48,,shortly,1
49,,members,1
50,,encouraged,1
51,,apply,1
52,,test,1
53,,tokens,1
54,,Sepolia,1
55,,network,1
56,,guide,1
57,,DxwYBUGFdg,1
58,,hour,1
59,,go,1
60,,38hQqL0fyb,1
61,,Join,1
62,,us,1
63,,tomorrow,1
64,,discuss,1
65,,Review,1
66,,last,1
67,,deep,1
68,,dive,1
69,,BEVM,1
70,,New,1
71,,partnerships,1
72,,ecosystem,1
73,,Topics,1
74,,next,1
75,,Q,1
76,,5c6frUd0ZP,1
