,profiles,kw,count
0,gravitaprotocol,OAT,4
1,,Galxe,3
2,,claim,3
3,,co,3
4,,campaign,2
5,,Gravita,2
6,,issue,1
7,,solved,1
8,,y7cZDNlFBE,1
9,,looking,1
10,,fix,1
11,,Arbitrum,1
12,,Odissey,1
13,,allow,1
14,,everyone,1
15,,enough,1
16,,time,1
17,,extended,1
18,,days,1
19,,consider,1
20,,holding,1
21,,part,1
22,,Ascend,1
23,,program,1
24,,high,1
25,,demand,1
26,,rETH,1
27,,Rocket_Pool,1
28,,available,1
29,,collateral,1
30,,asset,1
31,,0xPolygonLabs,1
32,,zkEVM,1
33,,Start,1
34,,borrowing,1
35,,APR,1
36,,42dW4udIvl,1
37,,JkM4pABNIH,1
