,profiles,kw,count
0,hafftka,RT,13
1,,hafftka,9
2,,co,8
3,,LFG,6
4,,work,4
5,,art,3
6,,Hafftka,3
7,,GM,3
8,,Bull,2
9,,Token,2
10,,mine,2
11,,yhafftka,2
12,,guitar,2
13,,parachicaa,2
14,,times,2
15,,Current,2
16,,relevant,2
17,,artists,2
18,,upcoming,2
19,,0xDecaArt,2
20,,DolcePaganne,2
21,,Elisprii,2
22,,Thanks,2
23,,powerful,2
24,,metapsy_io,1
25,,Moar,1
26,,New,1
27,,utility,1
28,,holder,1
29,,acquires,1
30,,primary,1
31,,airdrops,1
32,,next,1
33,,drops,1
34,,HWhrC6N5Rf,1
35,,cool,1
36,,collector,1
37,,France,1
38,,sent,1
39,,pics,1
40,,new,1
41,,acquisitions,1
42,,physicals,1
43,,mBWlfuGiVM,1
44,,Born,1
45,,Wild,1
46,,painted,1
47,,built,1
48,,gold,1
49,,foil,1
50,,single,1
51,,coil,1
52,,pu,1
53,,gear,1
54,,includes,1
55,,Paul,1
56,,Trombetta,1
57,,Tornit,1
58,,thank,1
59,,marking,1
60,,feel,1
61,,pain,1
62,,experienced,1
63,,creation,1
64,,Affairs,1
65,,Picasso,1
66,,Guernica,1
67,,nwTAYYJOAk,1
68,,reveal,1
69,,team,1
70,,joining,1
71,,release,1
72,,DianeeLindo,1
73,,DocT___,1
74,,Gavinmeeler,1
75,,kingxerox5,1
76,,MattScobel,1
77,,Skife,1
78,,XkissEth,1
79,,evP9OlQ6GP,1
80,,CryptoForager81,1
81,,gave,1
82,,away,1
83,,took,1
84,,paid,1
85,,3D,1
86,,rendering,1
87,,minting,1
88,,pocket,1
89,,ch,1
90,,BoonaETH,1
91,,hosting,1
92,,space,1
93,,able,1
94,,explain,1
95,,drop,1
96,,detail,1
97,,still,1
98,,listen,1
99,,made,1
100,,Events,1
101,,proud,1
102,,grateful,1
103,,gallery,1
104,,xllPYQU1wD,1
105,,SdwwmZ47pW,1
106,,Primal,1
107,,Scream,1
108,,wait,1
109,,drums,1
110,,5MIFnBBIPh,1
111,,OmletteMerve,1
112,,Legend,1
113,,know,1
114,,thousands,1
115,,BHAREBOY,1
116,,stopstare,1
117,,ParinHeidari,1
118,,amber_vittoria,1
119,,AmaanJah,1
120,,ecigiart,1
121,,paintings,1
122,,contain,1
123,,history,1
124,,monstruous,1
125,,side,1
126,,human,1
127,,nature,1
128,,Human,1
129,,inhumanity,1
130,,Yesterday,1
131,,tomorrow,1
132,,Recurring,1
133,,occurrences,1
134,,let,1
135,,make,1
136,,better,1
137,,lKT7TmFNhp,1
138,,shany_gin,1
139,,Love,1
140,,always,1
141,,thanks,1
142,,carav4ggio,1
143,,amp,1
144,,NikolinaPetolas,1
145,,inspiring,1
146,,incredible,1
147,,Wow,1
148,,KANDROOKRYPTO,1
149,,Fam,1
150,,Amazing,1
151,,ReadyPereOne,1
152,,attend,1
153,,spaces,1
154,,last,1
155,,night,1
156,,listening,1
157,,playback,1
158,,hugely,1
159,,recommend,1
160,,Listen,1
161,,mariafynsknorup,1
162,,emotional,1
163,,deeply,1
164,,touching,1
165,,personal,1
166,,masterpiece,1
167,,u,1
