,profiles,kw,count
0,hentaiavenger66,RT,9
1,,co,5
2,,gt,4
3,,btcusd,3
4,,VanEck,3
5,,hentaiavenger66,2
6,,goes,2
7,,healthy,2
8,,ethbtc,2
9,,ethusd,2
10,,dis,2
11,,Fund,2
12,,known,2
13,,hentaiavenger,2
14,,way,1
15,,ETH,1
16,,anytime,1
17,,soon,1
18,,BTC,1
19,,pullback,1
20,,really,1
21,,isnt,1
22,,enough,1
23,,liquidity,1
24,,DeFiSurfer808,1
25,,less,1
26,,bottoms,1
27,,send,1
28,,hard,1
29,,red,1
30,,candles,1
31,,stoolpresidente,1
32,,panic,1
33,,done,1
34,,FLY,1
35,,COUNTRY,1
36,,somebody,1
37,,Biden,1
38,,office,1
39,,tell,1
40,,bl,1
41,,guys,1
42,,much,1
43,,louder,1
44,,days,1
45,,ago,1
46,,happened,1
47,,FSrxiRZOPa,1
48,,inversebrah,1
49,,points,1
50,,screen,1
51,,bits,1
52,,Coin,1
53,,lien,1
54,,bryptocred,1
55,,donalt,1
56,,deyre,1
57,,married,1
58,,cred,1
59,,doesnt,1
60,,trade,1
61,,DeItaone,1
62,,Close,1
63,,Liquidate,1
64,,Bitcoin,1
65,,Strategy,1
66,,ETF,1
67,,Shareholders,1
68,,Sell,1
69,,Shares,1
70,,Listing,1
71,,Excha,1
72,,EggNamedCregg,1
73,,Little,1
74,,fact,1
75,,avenje,1
76,,actually,1
77,,chart,1
78,,use,1
79,,trading,1
80,,view,1
81,,youre,1
82,,getting,1
83,,sub,1
84,,better,1
85,,luck,1
86,,next,1
87,,time,1
88,,cousin,1
89,,yqf2I2L6ah,1
90,,Many,1
91,,experience,1
92,,personal,1
93,,networth,1
94,,halving,1
95,,Q1,1
96,,Suggest,1
97,,place,1
98,,bids,1
99,,35k,1
100,,QvUeJeMVqC,1
101,,Yodaskk,1
102,,btc,1
103,,34k,1
104,,confluence,1
105,,imo,1
106,,bottom,1
107,,trendline,1
108,,50W,1
109,,ema,1
110,,yearly,1
111,,pivot,1
112,,fib,1
113,,retracement,1
114,,last,1
115,,blockchaingob69,1
116,,cobie,1
117,,father,1
118,,figure,1
119,,CT,1
120,,trading_axe,1
121,,zhusu,1
122,,Let,1
123,,make,1
124,,movie,1
125,,instead,1
126,,Zhu,1
127,,Su,1
128,,feature,1
129,,Chinese,1
130,,Triad,1
131,,gang,1
132,,member,1
133,,gets,1
134,,approached,1
135,,TIA,1
136,,5x,1
137,,counterparty,1
138,,2bGzg6prrV,1
139,,Update,1
140,,vxkmxzWNW8,1
