,profiles,kw,count
0,honeypotfinance,Berachain,8
1,,co,8
2,,RT,7
3,,excited,4
4,,BGT,4
5,,Proof,3
6,,Liquidity,3
7,,berachain,3
8,,n,3
9,,project,3
10,,new,3
11,,BERA,3
12,,token,3
13,,honeypotfinance,2
14,,New,2
15,,quick,2
16,,thread,2
17,,team,2
18,,community,2
19,,validator,2
20,,nodes,2
21,,node,2
22,,governance,2
23,,users,2
24,,GasFee,2
25,,three,2
26,,model,2
27,,HONEY,2
28,,Bera,2
29,,Engineering,2
30,,BeraLand,2
31,,bera,2
32,,HJcGSwm,1
33,,SmokeyTheBera,1
34,,pretty,1
35,,much,1
36,,social,1
37,,set,1
38,,Bunch,1
39,,p2p,1
40,,gossip,1
41,,determine,1
42,,ne,1
43,,AD07072,1
44,,BANGer,1
45,,BeratoneGame,1
46,,beradrome,1
47,,boink_bera,1
48,,GumBallProtocol,1
49,,E2RWTB,1
50,,Want,1
51,,hear,1
52,,founder,1
53,,went,1
54,,detail,1
55,,hope,1
56,,enjoy,1
57,,WHCaRkKb5E,1
58,,incentivizes,1
59,,deploy,1
60,,forming,1
61,,align,1
62,,interests,1
63,,goal,1
64,,decentralization,1
65,,achieved,1
66,,PFei2cgd5e,1
67,,challenge,1
68,,lies,1
69,,general,1
70,,understanding,1
71,,used,1
72,,staking,1
73,,mechanism,1
74,,PoL,1
75,,Users,1
76,,unwilling,1
77,,hold,1
78,,burn,1
79,,exchange,1
80,,pay,1
81,,z2H41OqoK2,1
82,,Let,1
83,,dive,1
84,,consists,1
85,,GasCoin,1
86,,stablecoin,1
87,,easy,1
88,,understand,1
89,,use,1
90,,mitigate,1
91,,risks,1
92,,xZcKqlUEBS,1
93,,HJcGSwm0kC,1
94,,0x_Umeshu,1
95,,ultimate,1
96,,Ecosystem,1
97,,List,1
98,,Jan,1
99,,0xhoneyjar,1
100,,Updated,1
101,,sheet,1
102,,including,1
103,,projects,1
104,,incubated,1
105,,bu,1
106,,buildabera,1
107,,Greetings,1
108,,introduce,1
109,,Build,1
110,,zero,1
111,,one,1
112,,incubator,1
113,,focused,1
114,,fostering,1
115,,innovation,1
116,,Pr,1
117,,announce,1
118,,VP,1
119,,baloothebera,1
120,,previously,1
121,,Head,1
122,,Mysten,1
123,,Labs,1
124,,Bera_Land,1
125,,OOGA,1
126,,BOOGA,1
127,,CALLING,1
128,,BERAS,1
129,,uploaded,1
130,,episodes,1
131,,TV,1
132,,YouTube,1
133,,channel,1
134,,Shoot,1
135,,us,1
136,,market,1
137,,ooga,1
138,,booga,1
139,,HPOT,1
140,,mNdnMSsN5h,1
