,profiles,kw,count
0,iammycatmia,co,11
1,,top,5
2,,really,4
3,,RSTK,4
4,,cycle,4
5,,see,4
6,,time,4
7,,project,4
8,,mcap,4
9,,BTC,3
10,,buy,3
11,,course,3
12,,take,3
13,,PALM,3
14,,look,3
15,,fucked,2
16,,full,2
17,,many,2
18,,left,2
19,,big,2
20,,ones,2
21,,projects,2
22,,guys,2
23,,people,2
24,,continue,2
25,,think,2
26,,around,2
27,,ALPH,2
28,,prices,2
29,,chart,2
30,,impatient,2
31,,degens,2
32,,one,2
33,,reached,2
34,,bought,2
35,,idea,2
36,,said,2
37,,clearly,2
38,,KDA,2
39,,40m,2
40,,always,2
41,,nice,2
42,,image,2
43,,closer,2
44,,tell,1
45,,space,1
46,,hilt,1
47,,scum,1
48,,serious,1
49,,traders,1
50,,research,1
51,,assholes,1
52,,gilded,1
53,,launchpads,1
54,,theapeterminal,1
55,,SatoshiVM,1
56,,Normal,1
57,,told,1
58,,Impatient,1
59,,punished,1
60,,beginning,1
61,,opinion,1
62,,behave,1
63,,absolutely,1
64,,according,1
65,,plan,1
66,,49k,1
67,,temporary,1
68,,agreed,1
69,,right,1
70,,bull,1
71,,please,1
72,,Good,1
73,,move,1
74,,r3lIU3Oh8u,1
75,,update,1
76,,hated,1
77,,match,1
78,,moon,1
79,,disbelief,1
80,,talk,1
81,,longterm,1
82,,deal,1
83,,1h,1
84,,hours,1
85,,fancy,1
86,,simply,1
87,,seriously,1
88,,Many,1
89,,yPjw0uJRUS,1
90,,ship,1
91,,including,1
92,,large,1
93,,Levels,1
94,,exactly,1
95,,nothing,1
96,,Cats,1
97,,unfortunately,1
98,,sleep,1
99,,Audit,1
100,,openzeppelin,1
101,,place,1
102,,launch,1
103,,remember,1
104,,kfr3mCUlAg,1
105,,going,1
106,,beg,1
107,,remind,1
108,,keep,1
109,,radar,1
110,,sell,1
111,,pay,1
112,,attention,1
113,,sales,1
114,,away,1
115,,immediately,1
116,,Something,1
117,,30m,1
118,,1SmbCluFYJ,1
119,,RT,1
120,,ECrypto0,1
121,,Want,1
122,,finger,1
123,,pulse,1
124,,OasisProtocol,1
125,,ROSE,1
126,,ecosystem,1
127,,likely,1
128,,hear,1
129,,coming,1
130,,bad,1
131,,add,1
132,,florist,1
133,,trust,1
134,,worth,1
135,,3UKZruyLaN,1
136,,Thanks,1
137,,Image,1
138,,generator,1
139,,chain,1
140,,community,1
141,,members,1
142,,background,1
143,,jvagL1RboR,1
144,,flexing,1
145,,muscles,1
146,,Imagine,1
147,,LDO,1
148,,Ok,1
149,,unrealistic,1
150,,strongly,1
151,,advise,1
152,,early,1
153,,stage,1
154,,talking,1
155,,yet,1
156,,followers,1
157,,probably,1
158,,LokImxzQq2,1
159,,another,1
160,,analysis,1
161,,Behavior,1
162,,altcoins,1
163,,vs,1
164,,halvings,1
165,,history,1
166,,great,1
167,,still,1
168,,fun,1
169,,alts,1
170,,increasing,1
171,,gaining,1
172,,t3Y4EjULn1,1
173,,played,1
174,,tool,1
175,,first,1
176,,unlike,1
177,,generators,1
178,,tried,1
179,,produces,1
180,,simple,1
181,,prompts,1
182,,palmaierc,1
183,,completely,1
184,,undervalued,1
185,,9m,1
186,,7kjzXMRZzu,1
187,,question,1
188,,pros,1
189,,arguing,1
190,,Personally,1
191,,made,1
192,,known,1
193,,several,1
194,,larger,1
195,,tweets,1
196,,past,1
197,,months,1
198,,pre,1
199,,halving,1
200,,hand,1
201,,NzDbxAfFoN,1
202,,view,1
203,,perspective,1
204,,actually,1
205,,dipped,1
206,,close,1
207,,max,1
208,,retracement,1
209,,zone,1
210,,due,1
211,,overall,1
212,,market,1
213,,account,1
214,,everything,1
215,,quite,1
216,,normal,1
217,,pump,1
218,,retraces,1
219,,certain,1
220,,IuqduJXHsZ,1
