,profiles,kw,count
0,icebagz_,co,10
1,,RT,5
2,,well,3
3,,new,3
4,,playoffs,2
5,,Full,2
6,,conversation,2
7,,OverDogsPodcast,2
8,,success,2
9,,Kanpai,2
10,,Media,2
11,,want,2
12,,launch,2
13,,crypto,2
14,,native,2
15,,show,2
16,,format,2
17,,interested,2
18,,KanpaiPandas,2
19,,really,2
20,,great,2
21,,vip,1
22,,passes,1
23,,Rolling,1
24,,Loud,1
25,,Cali,1
26,,available,1
27,,ppdex,1
28,,raffle,1
29,,section,1
30,,Earn,1
31,,points,1
32,,free,1
33,,exchange,1
34,,sick,1
35,,experiences,1
36,,Rams,1
37,,Lions,1
38,,good,1
39,,right,1
40,,way,1
41,,shittiest,1
42,,games,1
43,,row,1
44,,start,1
45,,l7oGKe0vP0,1
46,,Worst,1
47,,weekly,1
48,,close,1
49,,history,1
50,,bitcoin,1
51,,bullish,1
52,,zFiCyQ8yMQ,1
53,,keep,1
54,,Dak,1
55,,absolutely,1
56,,chance,1
57,,playing,1
58,,PlatinumPerry,1
59,,clip,1
60,,ufc,1
61,,Fyp,1
62,,Clip,1
63,,Mike,1
64,,Perry,1
65,,UFC,1
66,,exec,1
67,,Hunter,1
68,,Campbell,1
69,,watch,1
70,,latest,1
71,,episode,1
72,,E,1
73,,icebagz_,1
74,,One,1
75,,podcast,1
76,,gotten,1
77,,us,1
78,,successful,1
79,,shows,1
80,,q2,1
81,,driving,1
82,,attention,1
83,,OverDogsBet,1
84,,fully,1
85,,expect,1
86,,10x,1
87,,numbers,1
88,,eoy,1
89,,tMfrLoju0s,1
90,,Dx4tN9bLrQ,1
91,,6lBxtrkWM1,1
92,,wildest,1
93,,shit,1
94,,read,1
95,,Y0OXtXAQMT,1
96,,shape,1
97,,another,1
98,,years,1
99,,eOHEciltMp,1
100,,Mutes,1
101,,thread,1
102,,enjoy,1
103,,Sunday,1
104,,1Z3Mt7Kz6j,1
105,,cringe,1
106,,person,1
107,,CT,1
108,,cookiecrumblerz,1
109,,floor,1
110,,low,1
111,,criminal,1
112,,bought,1
113,,first,1
114,,one,1
115,,panda,1
116,,wel,1
117,,see,1
118,,guys,1
119,,represented,1
120,,ring,1
121,,last,1
122,,night,1
123,,Shout,1
124,,Callum,1
125,,Smith,1
126,,definitely,1
127,,thinks,1
128,,dog,1
129,,coin,1
130,,next,1
131,,ONE,1
132,,FaQ4v8i8uX,1
133,,Name,1
134,,better,1
135,,combo,1
136,,Tableside,1
137,,guac,1
138,,michelada,1
139,,raini_coin,1
140,,year,1
141,,goals,1
142,,RST,1
143,,juicing,1
144,,tokenomics,1
145,,create,1
146,,ecosystem,1
147,,excite,1
148,,reward,1
149,,playe,1
150,,Larry,1
151,,Fink,1
152,,literally,1
153,,turned,1
154,,Pomp,1
155,,talking,1
156,,tokenizing,1
157,,everything,1
158,,bearish,1
