,profiles,kw,count
0,idexio,co,10
1,,RT,4
2,,deltaxbt,2
3,,boldleonidas,2
4,,Fine,1
5,,asked,1
6,,delivering,1
7,,bros,1
8,,RunnerXBT,1
9,,joining,1
10,,Spill,1
11,,Alpha,1
12,,January,1
13,,25th,1
14,,UTC,1
15,,solve,1
16,,existential,1
17,,questions,1
18,,running,1
19,,narrative,1
20,,trading,1
21,,Speed,1
22,,save,1
23,,date,1
24,,calendar,1
25,,t6VegnRXqx,1
26,,9HptldvyyL,1
27,,Quick,1
28,,posture,1
29,,check,1
30,,fam,1
31,,Yv38qKdaMN,1
32,,Gm,1
33,,GOATs,1
34,,oRx5I075Z5,1
35,,got,1
36,,books,1
37,,integrated,1
38,,L1s,1
39,,settlement,1
40,,layers,1
41,,rollups,1
42,,mwBg7h3NDS,1
43,,promised,1
44,,notes,1
45,,space,1
46,,legend,1
47,,Skew,1
48,,much,1
49,,said,1
50,,hard,1
51,,put,1
52,,text,1
53,,ho,1
54,,B1HE0Nvd6t,1
55,,tEVYvJJFY8,1
56,,Tradfi,1
57,,Friend,1
58,,Crypto,1
59,,complicated,1
60,,XyGKKRznuh,1
61,,Baskitchbrah,1
62,,idexio,1
63,,gm,1
64,,maed,1
65,,u,1
66,,dis,1
67,,react,1
68,,ufC2Ondf1G,1
69,,Happy,1
70,,weekend,1
71,,cycloooors,1
72,,ysUCTBckIw,1
