,profiles,kw,count
0,inversebrah,co,12
1,,RT,9
2,,wassie,3
3,,discuss,2
4,,inversebrah,2
5,,thanks,2
6,,innit,2
7,,ByzGeneral,2
8,,SmokeyHosoda,2
9,,cat,2
10,,rescue,2
11,,iwo,1
12,,UMvL4Y5E4u,1
13,,btw,1
14,,Sgzol6r81H,1
15,,q1,1
16,,5WBkpT1n3c,1
17,,LeFren0x,1
18,,pics,1
19,,amazing,1
20,,ct,1
21,,everyone,1
22,,sharing,1
23,,posts,1
24,,liking,1
25,,donating,1
26,,without,1
27,,yo,1
28,,0xtings,1
29,,much,1
30,,excited,1
31,,producing,1
32,,merch,1
33,,wassieverse,1
34,,think,1
35,,better,1
36,,model,1
37,,pancakes,1
38,,lfggg,1
39,,dis,1
40,,interesting,1
41,,9SV0ihjXNx,1
42,,nice,1
43,,daily,1
44,,weekly,1
45,,close,1
46,,UndeadBrah,1
47,,burger,1
48,,sometiems,1
49,,makes,1
50,,sense,1
51,,XZECnPg9rD,1
52,,CEO,1
53,,MAqxagsIew,1
54,,bits,1
55,,Coin,1
56,,looks,1
57,,sleepy,1
58,,9nabwRmqYX,1
59,,nacdelpicryl,1
60,,Dude,1
61,,works,1
62,,anti,1
63,,authoritarian,1
64,,money,1
65,,wants,1
66,,return,1
67,,monarchical,1
68,,government,1
69,,crypto,1
70,,ascribe,1
71,,something,1
72,,complex,1
73,,schemes,1
74,,simply,1
75,,explained,1
76,,retardation,1
77,,heh,1
78,,P5ppJTZcje,1
79,,UGvc2WujFv,1
80,,RNR_0,1
81,,post,1
82,,pic,1
83,,euro,1
84,,mind,1
85,,comprehend,1
86,,bts,1
87,,photoshoot,1
88,,wif,1
89,,juliazanettini,1
90,,YjOAEpkjiq,1
91,,least,1
92,,water,1
93,,WassieDad,1
94,,O9Crhm2e8U,1
95,,hes,1
96,,names,1
97,,b,1
98,,larpfest,1
99,,e1o3FFL3v6,1
100,,EM1T_,1
101,,heavily,1
102,,preoccupied,1
103,,senior,1
104,,stray,1
105,,Buddy,1
106,,two,1
107,,year,1
108,,olds,1
