,profiles,kw,count
0,justinsuntron,co,6
1,,blockchain,5
2,,TRON,4
3,,services,3
4,,sqTQec4uv5,3
5,,support,3
6,,funds,3
7,,SAFU,3
8,,HTX_DAO,3
9,,RT,3
10,,Tron,3
11,,火币HTX所有服务已经恢复,2
12,,感谢您的关心与支持,2
13,,所有资金都是安全的,2
14,,restored,2
15,,Thank,2
16,,concern,2
17,,technology,2
18,,time,2
19,,welcome,2
20,,Huawei,2
21,,build,2
22,,community,2
23,,Big,2
24,,Together,2
25,,billion,2
26,,人民交易所屹立不倒,1
27,,火币HTX被DDOS攻击,1
28,,我们预计会在数十分钟内恢复服务,1
29,,用户资产都是安全的,1
30,,attacked,1
31,,DDoS,1
32,,expect,1
33,,restore,1
34,,within,1
35,,tens,1
36,,minutes,1
37,,elonmusk,1
38,,Better,1
39,,version,1
40,,individual,1
41,,serving,1
42,,diplomatic,1
43,,ambassador,1
44,,international,1
45,,institutions,1
46,,UN,1
47,,WTO,1
48,,deeply,1
49,,aware,1
50,,importance,1
51,,global,1
52,,cooperation,1
53,,education,1
54,,knowledge,1
55,,particularly,1
56,,important,1
57,,wholeheartedly,1
58,,supports,1
59,,proposal,1
60,,United,1
61,,Nations,1
62,,different,1
63,,views,1
64,,professional,1
65,,facts,1
66,,handling,1
67,,methods,1
68,,refer,1
69,,report,1
70,,LF4ovqwKnK,1
71,,火币一姐冲出亚洲了,1
72,,Pleased,1
73,,see,1
74,,form,1
75,,partnership,1
76,,Cloud,1
77,,joining,1
78,,mainstream,1
79,,Ethereum,1
80,,new,1
81,,Web3,1
82,,HTX_Global,1
83,,News,1
84,,HTX,1
85,,directs,1
86,,platform,1
87,,revenue,1
88,,towards,1
89,,HTXDAO,1
90,,ecosystem,1
91,,development,1
92,,Embracing,1
93,,long,1
94,,term,1
95,,optimism,1
96,,trondao,1
97,,stronger,1
98,,Let,1
99,,Link,1
100,,nOA7gQx3pC,1
101,,Congratulations,1
102,,USDT,1
103,,circulation,1
104,,exceeding,1
105,,first,1
106,,Everyone,1
107,,made,1
108,,huge,1
109,,contribution,1
110,,achievement,1
111,,goal,1
112,,issuing,1
113,,stablecoins,1
114,,achieved,1
115,,soon,1
116,,paoloardoino,1
117,,Tether_to,1
118,,X7d3zm4EAE,1
