,profiles,kw,count
0,klinkfinance,Klink,5
1,,BTC,2
2,,tickets,2
3,,Check,2
4,,exciting,2
5,,things,2
6,,co,2
7,,TikTok,2
8,,distributed,1
9,,20daysoffreebitcoin,1
10,,event,1
11,,notifications,1
12,,redeem,1
13,,Good,1
14,,luck,1
15,,everyone,1
16,,stay,1
17,,tuned,1
18,,news,1
19,,Big,1
20,,coming,1
21,,CryptoRewards,1
22,,Vqu8A5hnZD,1
23,,Stay,1
24,,updated,1
25,,channel,1
26,,latest,1
27,,insights,1
28,,updates,1
29,,miss,1
30,,newest,1
31,,trends,1
32,,opportunities,1
33,,crypto,1
34,,KlinkUpdates,1
35,,4Msqvv0QCK,1
