,profiles,kw,count
0,lootbot_xyz,co,4
1,,users,3
2,,MANTA,3
3,,LOOT,3
4,,distributed,3
5,,airdrop,3
6,,ZKF,3
7,,xLOOT,2
8,,holders,2
9,,stakers,2
10,,Lootbot,2
11,,Freemium,1
12,,allocation,1
13,,automatically,1
14,,claimed,1
15,,transfer,1
16,,enabled,1
17,,next,1
18,,hours,1
19,,Rewards,1
20,,Monday,1
21,,Jan,1
22,,22nd,1
23,,Learn,1
24,,claiming,1
25,,Y5NHkpnLqK,1
26,,claim,1
27,,MantaNetwork,1
28,,within,1
29,,bot,1
30,,using,1
31,,Withdrawal,1
32,,LIVE,1
33,,PREMIUM,1
34,,FREE,1
35,,TRIAL,1
36,,qkrP5SNvye,1
37,,JeVKU50VlC,1
38,,RT,1
39,,Lothaen,1
40,,lootbot_xyz,1
41,,works,1
42,,received,1
43,,Update,1
44,,ZKFair,1
45,,chain,1
46,,Next,1
47,,stop,1
48,,year,1
49,,fYIcg5kyyx,1
50,,Gm,1
51,,today,1
