,profiles,kw,count
0,mgogel,Title,2
1,,co,2
2,,shared,2
3,,SCAM,2
4,,Mona,1
5,,Lisa,1
6,,TbuMSPY6G8,1
7,,discuss,1
8,,surprising,1
9,,benefits,1
10,,hallucinations,1
11,,LLMs,1
12,,viewing,1
13,,asymmetric,1
14,,opportunities,1
15,,rather,1
16,,problems,1
17,,cover,1
18,,evolution,1
19,,digital,1
20,,currencies,1
21,,areas,1
22,,decentralization,1
23,,open,1
24,,closed,1
25,,AI,1
26,,cyber,1
27,,cryptowarfare,1
28,,trade,1
29,,war,1
30,,Smile,1
31,,Collection,1
32,,See,1
33,,o73qAuvjSl,1
34,,taught,1
35,,course,1
36,,Invisible,1
37,,War,1
38,,Dark,1
39,,Patterns,1
40,,Unseen,1
41,,Manipulations,1
42,,Unraveling,1
43,,Hidden,1
44,,Conflicts,1
45,,behind,1
46,,Deceptive,1
47,,Digital,1
48,,Psychological,1
49,,Strategies,1
50,,Btw,1
51,,everyone,1
52,,predictions,1
53,,late,1
54,,mine,1
55,,March,1
56,,ish,1
57,,makes,1
58,,interesting,1
59,,using,1
60,,confirmation,1
61,,bias,1
62,,liked,1
63,,post,1
64,,got,1
65,,nothing,1
66,,Thanks,1
67,,coming,1
68,,twist,1
69,,scammers,1
70,,Haha,1
71,,real,1
72,,story,1
73,,Remember,1
74,,always,1
75,,stay,1
76,,alert,1
77,,online,1
78,,lose,1
79,,sense,1
80,,humor,1
81,,ALERT,1
82,,Today,1
83,,targeted,1
84,,sophisticated,1
85,,experienced,1
86,,far,1
87,,Luckily,1
88,,manage,1
89,,steal,1
90,,single,1
91,,cent,1
92,,lost,1
93,,everything,1
94,,easily,1
95,,happen,1
96,,Thread,1
