,profiles,kw,count
0,monad_xyz,Monad,10
1,,co,8
2,,LayerZero_Labs,3
3,,EVM,3
4,,telegram,2
5,,yet,2
6,,excited,2
7,,announce,2
8,,day,2
9,,support,2
10,,chains,2
11,,Finding,2
12,,gmonad,2
13,,parallel,2
14,,Memes,1
15,,Week,1
16,,ty,1
17,,seg0end0k,1
18,,AndyDufresne111,1
19,,asavarachan1994,1
20,,fed_febri,1
21,,WK7V7YcV4N,1
22,,Community,1
23,,hit,1
24,,messages,1
25,,millions,1
26,,mQ1B9Gp8pw,1
27,,MEGA,1
28,,THURSDAY,1
29,,PURGEDAY,1
30,,week,1
31,,Nads,1
32,,PURGED,1
33,,private,1
34,,best,1
35,,chance,1
36,,want,1
37,,invite,1
38,,join,1
39,,tg,1
40,,submissions,1
41,,channel,1
42,,Discord,1
43,,QrqWtydumy,1
44,,mean,1
45,,Universal,1
46,,Connectivity,1
47,,LayerZero,1
48,,deploy,1
49,,Endpoint,1
50,,connect,1
51,,including,1
52,,non,1
53,,networks,1
54,,General,1
55,,Messaging,1
56,,type,1
57,,Ng6TuptSvY,1
58,,great,1
59,,crypto,1
60,,project,1
61,,needle,1
62,,haystack,1
63,,Kxm4NiT5qI,1
64,,Devnet,1
65,,TLDR,1
66,,internal,1
67,,testnet,1
68,,soon,1
69,,RT,1
70,,gj53JUzgmc,1
71,,lt,1
72,,gt,1
73,,Layerzero,1
74,,one,1
75,,seamless,1
76,,asset,1
77,,transfers,1
78,,connections,1
79,,Stay,1
80,,tuned,1
81,,f667OgsQoq,1
82,,chain,1
83,,strong,1
84,,weakest,1
85,,link,1
86,,RrbdaMGk84,1
87,,deepest,1
88,,dive,1
89,,fun,1
90,,fact,1
91,,team,1
92,,developed,1
93,,execution,1
94,,algorithm,1
95,,years,1
96,,ago,1
97,,Happy,1
98,,Sunday,1
99,,wyd,1
100,,good,1
101,,morning,1
102,,좋은,1
103,,아침이에요,1
104,,selamat,1
105,,pagi,1
106,,श,1
107,,भ,1
108,,प,1
109,,रभ,1
110,,त,1
111,,buenos,1
112,,días,1
113,,chào,1
114,,buổi,1
115,,sáng,1
