,profiles,kw,count
0,nellimkopi,tia,5
1,,alpha,5
2,,co,4
3,,CT,2
4,,btc,2
5,,blur,2
6,,moving,2
7,,higher,2
8,,dinner,2
9,,action,2
10,,hunt,2
11,,buying,2
12,,fade,2
13,,Survive,1
14,,Many,1
15,,learn,1
16,,hard,1
17,,way,1
18,,included,1
19,,Flavour,1
20,,day,1
21,,ONDO,1
22,,Sound,1
23,,Head,1
24,,dont,1
25,,spend,1
26,,time,1
27,,writing,1
28,,threads,1
29,,nothing,1
30,,btrfly,1
31,,vQUOuasVgD,1
32,,Despite,1
33,,chopping,1
34,,opportunities,1
35,,alts,1
36,,already,1
37,,seeing,1
38,,dydx,1
39,,sui,1
40,,sol,1
41,,might,1
42,,push,1
43,,jto,1
44,,actually,1
45,,organise,1
46,,arcthecommunity,1
47,,best,1
48,,someone,1
49,,shilled,1
50,,market,1
51,,bought,1
52,,rest,1
53,,history,1
54,,thank,1
55,,know,1
56,,Melt,1
57,,TIA,1
58,,See,1
59,,next,1
60,,year,1
61,,boss,1
62,,hedgers,1
63,,gets,1
64,,liquidated,1
65,,price,1
66,,squeeze,1
67,,upwards,1
68,,PA,1
69,,looks,1
70,,trades,1
71,,Mon,1
72,,Fri,1
73,,daughter,1
74,,naming,1
75,,Celestia,1
76,,nice,1
77,,name,1
78,,types,1
79,,people,1
80,,take,1
81,,come,1
82,,across,1
83,,TG,1
84,,Discord,1
85,,continues,1
86,,sake,1
87,,consuming,1
88,,content,1
89,,taking,1
90,,either,1
91,,hunted,1
92,,went,1
93,,jumping,1
94,,continue,1
95,,buy,1
96,,intention,1
97,,sell,1
98,,anytime,1
99,,soon,1
100,,K60BpuI1hW,1
101,,Short,1
102,,term,1
103,,target,1
104,,Flippening,1
105,,XLKH9zuUlS,1
106,,still,1
107,,think,1
108,,go,1
109,,CzXdDXZOlw,1
