,profiles,kw,count
0,nftperp,v2,7
1,,co,5
2,,Alpha,4
3,,whitelist,3
4,,AMMs,3
5,,order,3
6,,AMM,3
7,,nftperp,3
8,,liquidity,3
9,,NFT,3
10,,pudgypenguins,3
11,,week,2
12,,winners,2
13,,DLOB,2
14,,Still,2
15,,Types,2
16,,market,2
17,,trading,2
18,,Benefit,2
19,,Liquidity,2
20,,allow,2
21,,trader,2
22,,Pairs,2
23,,addition,2
24,,first,2
25,,fAMM,2
26,,repost,2
27,,amp,2
28,,tag,2
29,,giveaway,1
30,,MountainMoses33,1
31,,YoungnHurry911,1
32,,hellowalt_,1
33,,ZheiJangJosh,1
34,,AdeolaJob,1
35,,Congrats,1
36,,Stay,1
37,,tuned,1
38,,next,1
39,,another,1
40,,opportunity,1
41,,design,1
42,,behind,1
43,,maximizes,1
44,,strengths,1
45,,provided,1
46,,filling,1
47,,shortcomings,1
48,,finding,1
49,,curious,1
50,,Check,1
51,,docs,1
52,,ZzVZOC6DtK,1
53,,Con,1
54,,usually,1
55,,executed,1
56,,immediately,1
57,,introduce,1
58,,limit,1
59,,stop,1
60,,loss,1
61,,take,1
62,,profit,1
63,,thus,1
64,,enhancing,1
65,,experience,1
66,,community,1
67,,Improved,1
68,,Provision,1
69,,great,1
70,,way,1
71,,anyone,1
72,,contribute,1
73,,earn,1
74,,yield,1
75,,return,1
76,,users,1
77,,trade,1
78,,assets,1
79,,without,1
80,,needing,1
81,,maker,1
82,,active,1
83,,end,1
84,,Easily,1
85,,Bootstrapping,1
86,,Low,1
87,,make,1
88,,integration,1
89,,new,1
90,,feasible,1
91,,regardless,1
92,,constraints,1
93,,Given,1
94,,lack,1
95,,inherent,1
96,,NFTs,1
97,,necessary,1
98,,Dive,1
99,,rabbit,1
100,,hole,1
101,,perpetual,1
102,,futures,1
103,,DEX,1
104,,using,1
105,,improved,1
106,,Fusion,1
107,,Automated,1
108,,Market,1
109,,Maker,1
110,,combines,1
111,,rely,1
112,,solely,1
113,,Let,1
114,,explore,1
115,,good,1
116,,bad,1
117,,sEQIoEgCzx,1
118,,sneak,1
119,,peek,1
120,,dashboard,1
121,,Best,1
122,,user,1
123,,interface,1
124,,NFTFinance,1
125,,Yep,1
126,,7SLMZqk8NO,1
127,,got,1
128,,plenty,1
129,,time,1
130,,instructions,1
131,,simple,1
132,,favorite,1
133,,chance,1
134,,pick,1
135,,Friday,1
136,,2nd,1
137,,confirmed,1
138,,collection,1
139,,TudtRXSllf,1
140,,Giving,1
141,,lucky,1
142,,traders,1
143,,access,1
144,,live,1
145,,degenerate,1
146,,frenz,1
147,,HgTaesb09h,1
