,profiles,kw,count
0,nicholashall,FTX,4
1,,price,4
2,,claim,4
3,,RT,3
4,,claims,3
5,,foundxyz,2
6,,pool,2
7,,looking,1
8,,highest,1
9,,possible,1
10,,apply,1
11,,co,1
12,,L4CMpXFP6W,1
13,,experiencing,1
14,,extremely,1
15,,high,1
16,,want,1
17,,best,1
18,,DM,1
19,,see,1
20,,qualify,1
21,,Breaking,1
22,,records,1
23,,left,1
24,,right,1
25,,Think,1
26,,76c,1
27,,big,1
28,,join,1
29,,double,1
30,,points,1
31,,one,1
32,,Started,1
33,,tokenizing,1
34,,bankruptcy,1
35,,cool,1
36,,10X,1
37,,growth,1
38,,TVL,1
39,,month,1
40,,2M,1
41,,20M,1
42,,way,1
43,,farm,1
44,,poin,1
45,,DaxxTrader,1
46,,Hi,1
47,,guys,1
48,,bunch,1
49,,us,1
50,,putting,1
51,,together,1
52,,form,1
53,,higher,1
54,,pay,1
55,,workin,1
