,profiles,kw,count
0,notEezzy,co,16
1,,RT,8
2,,MYRA,6
3,,meme,5
4,,DannyCrypt,4
5,,SOL,4
6,,WisdomMatic,3
7,,good,3
8,,sol,3
9,,Dex,3
10,,10m,3
11,,targets,3
12,,myra,3
13,,Update,2
14,,5M,2
15,,Go,2
16,,girl,2
17,,Myro,2
18,,Myra,2
19,,50m,2
20,,profit,2
21,,2m,2
22,,3m,2
23,,TIA,2
24,,Show,2
25,,amp,2
26,,D2ALFc1WuO,2
27,,myro,2
28,,RSki2CFpOE,1
29,,gt,1
30,,manlets,1
31,,indeed,1
32,,room,1
33,,us,1
34,,60DZBB5GTn,1
35,,notEezzy,1
36,,think,1
37,,going,1
38,,let,1
39,,yall,1
40,,fun,1
41,,vB0Lm2hTKR,1
42,,Send,1
43,,urgently,1
44,,gn36wywDAO,1
45,,cheatcoiner,1
46,,Gm,1
47,,fam,1
48,,hit,1
49,,3M,1
50,,night,1
51,,around,1
52,,sexy,1
53,,af,1
54,,chart,1
55,,higher,1
56,,c,1
57,,riding,1
58,,opened,1
59,,long,1
60,,well,1
61,,send,1
62,,go,1
63,,crazy,1
64,,begins,1
65,,LNfIvuYBpT,1
66,,reposting,1
67,,fadin,1
68,,loves,1
69,,couples,1
70,,KBwglVJUMq,1
71,,promising,1
72,,new,1
73,,tokens,1
74,,joined,1
75,,chats,1
76,,SPEERO,1
77,,Road,1
78,,gr3czpGoMs,1
79,,jGTexGo2aE,1
80,,eco,1
81,,rug,1
82,,dips,1
83,,b,1
84,,e,1
85,,4x,1
86,,CUC,1
87,,90k,1
88,,rugged,1
89,,TRIANGLE,1
90,,880k,1
91,,shrimple,1
92,,4m,1
93,,ca,1
94,,6m,1
95,,vonspeed,1
96,,speero,1
97,,usdc,1
98,,7m,1
99,,200m,1
100,,popcat,1
101,,17m,1
102,,ponke,1
103,,slo,1
104,,find,1
105,,something,1
106,,believe,1
107,,bid,1
108,,lol,1
109,,ICP,1
110,,Must,1
111,,iHeDP3dAFI,1
112,,Holy,1
113,,shittttttttt,1
114,,tdbM1P6D6U,1
115,,People,1
116,,thinking,1
117,,mcap,1
118,,derivative,1
119,,must,1
120,,know,1
121,,thing,1
122,,bull,1
123,,run,1
124,,Baby,1
125,,doge,1
126,,seem,1
127,,wants,1
128,,soooooo,1
129,,muuuuch,1
130,,higherrrrr,1
131,,8x,1
132,,TG,1
133,,Twitter,1
134,,call,1
135,,Next,1
136,,Stop,1
137,,QB0OG07hU9,1
138,,better,1
139,,couple,1
140,,170m,1
141,,5m,1
142,,Take,1
143,,higherrr,1
144,,HzWTMLFbXg,1
145,,name,1
146,,bought,1
147,,bag,1
148,,Solana,1
149,,getting,1
150,,hot,1
151,,eyes,1
152,,peeled,1
153,,anything,1
154,,moves,1
155,,looks,1
156,,best,1
157,,top,1
158,,launch,1
159,,day,1
160,,DUeRjHx0U1,1
161,,GM,1
162,,believers,1
163,,g7jDRbuNr5,1
