,profiles,kw,count
0,ordrocks,RT,4
1,,painting,2
2,,Inscription,2
3,,Bitcoin,2
4,,PepenardoStudio,1
5,,Gm,1
6,,Digital,1
7,,physical,1
8,,Untitled,1
9,,Magritte,1
10,,good,1
11,,example,1
12,,billyrestey,1
13,,quote,1
14,,Andy,1
15,,Warhol,1
16,,co,1
17,,q4VNRgiUiN,1
18,,FTI_US,1
19,,Ordinals,1
20,,amp,1
21,,Layer,1
22,,solutions,1
23,,ignored,1
24,,vital,1
25,,solving,1
26,,economic,1
27,,security,1
28,,problem,1
29,,saylor,1
30,,encounter,1
31,,strange,1
32,,new,1
33,,asset,1
34,,Pet,1
35,,Rock,1
36,,circulating,1
37,,blockchain,1
38,,nothing,1
39,,allow,1
40,,people,1
41,,ow,1
42,,Super,1
43,,cool,1
44,,project,1
45,,great,1
46,,team,1
