,profiles,kw,count
0,parallaxfin,APY,9
1,,ETH,6
2,,WETH,6
3,,ARB,5
4,,vault,4
5,,LINK,4
6,,co,4
7,,Vault,4
8,,USDC,4
9,,e,4
10,,New,3
11,,Note,3
12,,newly,3
13,,launched,3
14,,accurate,3
15,,APR,3
16,,figures,3
17,,WBTC,3
18,,Alert,2
19,,open,2
20,,deposits,2
21,,Arbitrum,2
22,,Current,2
23,,Lineup,2
24,,Jan,2
25,,Airdrop,2
26,,date,2
27,,new,2
28,,lineup,1
29,,digit,1
30,,wish,1
31,,see,1
32,,us,1
33,,listing,1
34,,next,1
35,,available,1
36,,hours,1
37,,data,1
38,,integration,1
39,,TxR0EG6GmD,1
40,,powered,1
41,,HAL9000,1
42,,Scheduled,1
43,,January,1
44,,XGIgwXNL3a,1
45,,Week,1
46,,Additions,1
47,,Drlh4jfD26,1
48,,Exciting,1
49,,PLX,1
50,,Filled,1
51,,Bonus,1
52,,successfully,1
53,,executed,1
54,,Stay,1
55,,tuned,1
56,,upcoming,1
57,,tester,1
58,,announced,1
59,,soon,1
60,,Discord,1
61,,Telegram,1
62,,Plus,1
63,,keep,1
64,,eye,1
65,,CALM,1
66,,details,1
67,,launch,1
68,,5c9wC2SRlS,1
