,profiles,kw,count
0,pentaclexyz,RT,10
1,,co,9
2,,pentacletarot,5
3,,pentcle,3
4,,daily,3
5,,readings,3
6,,Tarot,3
7,,question,2
8,,thank,2
9,,minters,2
10,,access,2
11,,tarot,2
12,,pentaclexyz,2
13,,web3,2
14,,experience,2
15,,first,2
16,,minted,2
17,,Pentacle,2
18,,Keys,2
19,,ask,1
20,,functi0nZer0,1
21,,think,1
22,,cards,1
23,,telling,1
24,,plagiarise,1
25,,vgmCrPsO03,1
26,,new,1
27,,today,1
28,,please,1
29,,enjoy,1
30,,wW3WqdDUq1,1
31,,reveal,1
32,,card,1
33,,art,1
34,,rahdoht,1
35,,opposition,1
36,,oft,1
37,,sought,1
38,,economy,1
39,,scale,1
40,,limited,1
41,,feels,1
42,,artisanal,1
43,,spdy,1
44,,Always,1
45,,keen,1
46,,supporting,1
47,,projects,1
48,,aka,1
49,,provides,1
50,,aliciakatz,1
51,,blockchain,1
52,,beautiful,1
53,,Minting,1
54,,live,1
55,,cool,1
56,,af,1
57,,project,1
58,,sharing,1
59,,real,1
60,,time,1
61,,data,1
62,,connect,1
63,,yEsTaNEmur,1
64,,click,1
65,,ladies,1
66,,thighs,1
67,,5oeRH7d8Fq,1
68,,see,1
69,,great,1
70,,neurodivergent,1
71,,ass,1
72,,jiggling,1
73,,future,1
74,,anon,1
75,,sound,1
76,,w3WMlyk1lN,1
77,,3VgtXSa7pM,1
78,,shegenerates,1
79,,NFTs,1
80,,Reveal,1
81,,soon,1
82,,I1UizB9idW,1
83,,tysm,1
84,,everyone,1
85,,DrNickA,1
86,,wonderful,1
87,,little,1
88,,really,1
89,,beautifully,1
90,,designed,1
91,,implemented,1
92,,impressive,1
93,,fu,1
94,,Today,1
95,,launching,1
96,,collection,1
97,,answer,1
98,,existential,1
99,,questions,1
100,,notes,1
101,,design,1
102,,process,1
103,,e9wDnnkmWz,1
104,,quite,1
105,,getting,1
106,,animated,1
107,,gifs,1
108,,T1rPugqG78,1
