,profiles,kw,count
0,pixels_online,RT,15
1,,co,11
2,,pixels_online,6
3,,Jihoz_Axie,5
4,,heidichristne,4
5,,whatslukedoing,3
6,,great,3
7,,daryl24_eth,3
8,,amp,3
9,,P2A,2
10,,game,2
11,,games,2
12,,team,2
13,,CASTERS,2
14,,Pixels,2
15,,Play,2
16,,Airdrop,2
17,,done,2
18,,Ends,2
19,,FRIDAY,2
20,,Make,2
21,,sure,2
22,,Pv5OioV2Gx,2
23,,building,2
24,,one,2
25,,MILLION,1
26,,GRUMPKINS,1
27,,HARVESTED,1
28,,THROUGHOUT,1
29,,Morelif3_,1
30,,Imagine,1
31,,getting,1
32,,rev,1
33,,share,1
34,,generated,1
35,,million,1
36,,reality,1
37,,Farmville,1
38,,incorporated,1
39,,di,1
40,,Rv7FmiEBie,1
41,,hypercryptology,1
42,,dropping,1
43,,pixel,1
44,,One,1
45,,nicely,1
46,,balanced,1
47,,Esports4Evryone,1
48,,INTRODUCTION,1
49,,Behind,1
50,,event,1
51,,Crowd,1
52,,favorites,1
53,,Chief_AxieGG,1
54,,TQ_Games,1
55,,Online,1
56,,almost,1
57,,Remember,1
58,,click,1
59,,suspicious,1
60,,items,1
61,,sent,1
62,,wallets,1
63,,drop,1
64,,MOAR,1
65,,6D1d7HWR9B,1
66,,PLAY,1
67,,AIRDROP,1
68,,ENDING,1
69,,AMA,1
70,,bUzCwz6rKL,1
71,,Jan,1
72,,19th,1
73,,12pm,1
74,,PT,1
75,,8pm,1
76,,UTC,1
77,,harvested,1
78,,grumps,1
79,,collected,1
80,,wax,1
81,,chopped,1
82,,trees,1
83,,Tune,1
84,,today,1
85,,live,1
86,,details,1
87,,energy,1
88,,Theatre,1
89,,f5lGYNvWm2,1
90,,rossramblings,1
91,,Sully,1
92,,made,1
93,,Special,1
94,,thanks,1
95,,giveaway,1
96,,people,1
97,,voting,1
98,,artis,1
99,,Bid,1
100,,submitted,1
101,,move,1
102,,Lunacian,1
103,,vf4lhxZ9Nv,1
104,,Add,1
105,,calendar,1
106,,JZjlX9mz3k,1
107,,big,1
108,,names,1
109,,joining,1
110,,us,1
111,,tomorrow,1
112,,space,1
113,,Many,1
114,,Faces,1
115,,Web3,1
116,,Gamers,1
117,,kurorobeast,1
118,,ZTXofficial,1
119,,Nifty_Island,1
120,,crypto__kermit,1
121,,set,1
122,,reminder,1
123,,tcgPk9PDeU,1
124,,LET,1
125,,COOK,1
126,,MFERS,1
127,,pvxS74Aed6,1
128,,Consistency,1
129,,key,1
130,,years,1
131,,bulls,1
132,,bears,1
133,,matters,1
134,,kept,1
135,,mo,1
136,,half,1
137,,whole,1
138,,time,1
139,,tons,1
140,,tech,1
141,,con,1
142,,FULL,1
143,,GUIDE,1
144,,20x,1
145,,better,1
146,,gameplay,1
147,,ecosystem,1
148,,web3,1
149,,right,1
150,,L,1
151,,gabusch,1
152,,bought,1
153,,land,1
154,,going,1
155,,sleep,1
156,,VardCrypto,1
157,,kindly,1
158,,helped,1
159,,pick,1
160,,anything,1
161,,yet,1
162,,ChuckFresco,1
163,,Found,1
164,,Puzzle,1
165,,Piece,1
166,,next,1
167,,fqe3U2iXpT,1
168,,Review,1
169,,Part,1
170,,Guild,1
171,,anticipated,1
172,,features,1
173,,coming,1
174,,year,1
175,,Q1,1
176,,firs,1
