,profiles,kw,count
0,playSIPHER,co,12
1,,RT,12
2,,playSIPHER,11
3,,Sipheria,7
4,,SiphersAssemble,6
5,,register,5
6,,Buru,5
7,,amp,4
8,,h62I7Vx3Vo,4
9,,Pre,4
10,,Neko,3
11,,pre,3
12,,unleash,3
13,,lucky,2
14,,winners,2
15,,Go,2
16,,help,2
17,,socks,2
18,,kevinlambert,2
19,,next,2
20,,Siphers,2
21,,one,2
22,,ready,2
23,,fast,2
24,,Join,2
25,,defend,2
26,,Watch,2
27,,Ancient,2
28,,AskTinNguyen,2
29,,night,2
30,,go,2
31,,first,2
32,,Closed,2
33,,Alpha,2
34,,game,2
35,,SiphersArise,2
36,,us,2
37,,Felis,2
38,,already,2
39,,infiltrated,2
40,,Congratulations,1
41,,SIPHERfr,1
42,,alxIVkub,1
43,,Akichuaki,1
44,,wattwheels,1
45,,burtkanez,1
46,,ValentxV4l3nt,1
47,,CrazyRyuKun,1
48,,0xBGoat,1
49,,MykeElevated,1
50,,FnordyNFT,1
51,,Please,1
52,,check,1
53,,DMs,1
54,,process,1
55,,reward,1
56,,Thanks,1
57,,joined,1
58,,stay,1
59,,tuned,1
60,,future,1
61,,events,1
62,,G2O3XYNahX,1
63,,Synthetic,1
64,,fans,1
65,,battle,1
66,,enemies,1
67,,seeing,1
68,,double,1
69,,GAM3Sgg_,1
70,,Curious,1
71,,know,1
72,,Augmentations,1
73,,dungeon,1
74,,runs,1
75,,guide,1
76,,dives,1
77,,augments,1
78,,th,1
79,,Real_n3xt,1
80,,Game,1
81,,review,1
82,,Thoughts,1
83,,playing,1
84,,days,1
85,,NyT9XH5CVf,1
86,,Enter,1
87,,knocked,1
88,,Thank,1
89,,kind,1
90,,words,1
91,,voice,1
92,,featured,1
93,,nIsU4OK4fu,1
94,,Many,1
95,,enter,1
96,,ARENA,1
97,,prevail,1
98,,paced,1
99,,PvP,1
100,,action,1
101,,forces,1
102,,Burus,1
103,,charging,1
104,,Taurus,1
105,,BERSERK,1
106,,fury,1
107,,foes,1
108,,Mecha,1
109,,Embrace,1
110,,ENERGY,1
111,,SHIELD,1
112,,Become,1
113,,Indestructible,1
114,,Inferno,1
115,,Open,1
116,,HELL,1
117,,GATE,1
118,,chaos,1
119,,destruction,1
120,,GUARDS,1
121,,vVyLO8MOJ1,1
122,,playtested,1
123,,Zendor,1
124,,last,1
125,,hours,1
126,,second,1
127,,world,1
128,,Sipher,1
129,,Odyssey,1
130,,fell,1
131,,love,1
132,,environment,1
133,,Achievement,1
134,,unlocked,1
135,,registrations,1
136,,Halfway,1
137,,hitting,1
138,,milestone,1
139,,earning,1
140,,juicy,1
141,,rewards,1
142,,spread,1
143,,word,1
144,,needs,1
145,,ENJzl70Nsb,1
146,,JuiceGamingTeam,1
147,,collaborating,1
148,,FULL,1
149,,Juice,1
150,,giving,1
151,,community,1
152,,limited,1
153,,exclusive,1
154,,access,1
155,,Discord,1
156,,fun,1
157,,1st,1
158,,EPIC,1
159,,GGWP,1
160,,players,1
161,,much,1
162,,respect,1
163,,final,1
164,,battled,1
165,,Arena,1
166,,Congrats,1
167,,champion,1
168,,Misraisama,1
169,,See,1
170,,XtJ0Z4vPJp,1
171,,manages,1
172,,come,1
173,,GDC,1
174,,want,1
175,,BreederDAO,1
176,,registration,1
177,,live,1
178,,worth,1
179,,SIPHER,1
180,,grabs,1
181,,mission,1
182,,Tag,1
183,,squad,1
184,,jyQRCHGk7y,1
185,,value,1
186,,JAN,1
187,,Help,1
188,,Meet,1
189,,lightning,1
190,,reflexes,1
191,,cunning,1
192,,mind,1
193,,fur,1
194,,midable,1
195,,feline,1
196,,keep,1
197,,edge,1
198,,seat,1
199,,8BEs6pi1eR,1
200,,rarely,1
201,,web3,1
202,,knock,1
203,,happened,1
204,,closed,1
205,,alpha,1
206,,Honestly,1
207,,gabusch,1
208,,Juicy,1
209,,trailer,1
210,,backed,1
211,,great,1
212,,gameplay,1
213,,really,1
214,,looking,1
215,,forward,1
216,,gaius917,1
217,,Double,1
218,,trouble,1
219,,teampath_gg,1
220,,V4,1
221,,bring,1
222,,pathgamingg,1
223,,CryptoStache,1
224,,GIA_Agents,1
225,,hits,1
226,,open,1
227,,beta,1
228,,headstart,1
229,,IndiGG_DAO,1
230,,hype,1
231,,REAL,1
232,,IndiGG,1
233,,fam,1
234,,secure,1
235,,spot,1
236,,PreRegistration,1
