,profiles,kw,count
0,rainbowdotme,Rainbow,7
1,,next,4
2,,co,3
3,,week,3
4,,earn,2
5,,points,2
6,,Points,2
7,,Socket,2
8,,contract,2
9,,app,2
10,,bridging,2
11,,paused,2
12,,tuesday,1
13,,HYGnZFYENx,1
14,,Coming,1
15,,Stay,1
16,,tuned,1
17,,announcement,1
18,,introducing,1
19,,fun,1
20,,partnership,1
21,,new,1
22,,way,1
23,,shipping,1
24,,ability,1
25,,opt,1
26,,related,1
27,,push,1
28,,notifications,1
29,,Remember,1
30,,help,1
31,,dropped,1
32,,Check,1
33,,wallet,1
34,,see,1
35,,many,1
36,,earned,1
37,,Introducing,1
38,,Dapp,1
39,,Interaction,1
40,,Rewards,1
41,,alllll,1
42,,things,1
43,,onchain,1
44,,use,1
45,,daily,1
46,,driver,1
47,,start,1
48,,racking,1
49,,eNtsjK6dT7,1
50,,Today,1
51,,industry,1
52,,wide,1
53,,exploit,1
54,,impacting,1
55,,Gateway,1
56,,uses,1
57,,power,1
58,,feature,1
59,,protect,1
60,,users,1
61,,functionality,1
62,,mobile,1
63,,browser,1
64,,extension,1
65,,PAK2VLm4BX,1
