,profiles,kw,count
0,realScamSniffer,co,31
1,,victim,16
2,,phishing,14
3,,ago,9
4,,lost,7
5,,stolen,7
6,,worth,6
7,,malicious,6
8,,scammer,5
9,,one,5
10,,signing,5
11,,site,5
12,,minutes,5
13,,address,5
14,,ETH,4
15,,transaction,3
16,,hours,3
17,,signatures,3
18,,million,3
19,,Solana,3
20,,Node,3
21,,email,2
22,,campaign,2
23,,users,2
24,,tokens,2
25,,wallet,2
26,,less,2
27,,funds,2
28,,ERC20,2
29,,Permit,2
30,,scammers,2
31,,0x8a42bde043915b93edbba1f6bf67626a43a21111,2
32,,ARB,2
33,,approvals,2
34,,appeared,2
35,,assets,2
36,,Drainer,2
37,,converted,2
38,,wrong,2
39,,0x78e2c4de212474d410456e9aa0c3acbc44f0643a,1
40,,0xa87c16d82f0a97dbe9a2459ee12db0f79dac65a7,1
41,,USDT,1
42,,swap,1
43,,v5BnC02SIY,1
44,,kkkGw1oW8D,1
45,,Alert,1
46,,new,1
47,,targeting,1
48,,TrustWallet,1
49,,leveraging,1
50,,Substack,1
51,,send,1
52,,ptGDFhBmK0,1
53,,0x373adc79ff63d5076d0685ca35031339d4e0da82,1
54,,0x4f4314e1e81650497d46e5b2179f5f3430902011,1
55,,another,1
56,,bQiEE7FIxN,1
57,,0W7qwUUrHh,1
58,,0xefbf320e8bc2e0a051db24f73b6f5756deeddcda,1
59,,0xa2f10ccba0f5950eea846be601d7e0a627144b4e,1
60,,Auction,1
61,,scams,1
62,,withdrew,1
63,,Binance,1
64,,JQMEkKCKpS,1
65,,ObUVV5y7bv,1
66,,according,1
67,,MistTrack,1
68,,transferred,1
69,,Railgun,1
70,,WTaqAUS939,1
71,,ZmfnwKjWyE,1
72,,signed,1
73,,three,1
74,,token,1
75,,spenders,1
76,,temp,1
77,,pre,1
78,,computed,1
79,,CREATE2,1
80,,78k82fbRfk,1
81,,od4gcCC04A,1
82,,0x23f8c7db7a1b656652e9726ab264c5b181418b9f,1
83,,0x145f2b66b7bf5ad64b4ae21d1c77a20c61bf45a9,1
84,,WBTC,1
85,,TpCaMt3IRm,1
86,,hsboFyfSZ7,1
87,,0x1f38e548263e7d9376c62f990d8ff15e7fee2f95,1
88,,0x7777777cec4d3a02fb80036789cb5002c591d5b5,1
89,,located,1
90,,EbTolPGELd,1
91,,holder,1
92,,increaseAllowance',1
93,,days,1
94,,8MlVosTvfJ,1
95,,manage,1
96,,tokens',1
97,,check,1
98,,revoke,1
99,,tool,1
100,,created,1
101,,GoPlusSecurity,1
102,,j0Qe4r1FGa,1
103,,due,1
104,,l7v7P1XJAI,1
105,,Ap6HVfbpDr,1
106,,0x504cf83f0fbe9a4f97b67ea28a6fb70aa49231ae,1
107,,0x55e1cf5f76328b5bc5468f7c73a96ce768f4e2a8,1
108,,stETH,1
109,,signature,1
110,,LswQ9n9G8x,1
111,,AWyi4blfJF,1
112,,received,1
113,,reports,1
114,,losing,1
115,,clicking,1
116,,fake,1
117,,1inch,1
118,,scam,1
119,,ad,1
120,,DuckDuckGo,1
121,,drainer,1
122,,link,1
123,,used,1
124,,Mandiant,1
125,,Twitter,1
126,,hacking,1
127,,event,1
128,,69X1QVn71B,1
129,,Read,1
130,,full,1
131,,article,1
132,,oa1vvbcqS4,1
133,,thanks,1
134,,andrewhong5297,1
135,,hildobby_,1
136,,answering,1
137,,questions,1
138,,ran,1
139,,Dune,1
140,,analysis,1
141,,blockchain,1
142,,dark,1
143,,forest,1
144,,lurking,1
145,,Protect,1
146,,digital,1
147,,staying,1
148,,vigilant,1
149,,informed,1
150,,Unlike,1
151,,Ethereum,1
152,,often,1
153,,involves,1
154,,direct,1
155,,transfers,1
156,,exploiting,1
157,,weaknesses,1
158,,simulations,1
159,,Upe7aLfwYP,1
160,,One,1
161,,associated,1
162,,USDC,1
163,,via,1
164,,AllBridge,1
165,,making,1
166,,profit,1
167,,urpUSE42iJ,1
168,,Christmas,1
169,,swiping,1
170,,2M,1
171,,two,1
172,,weeks,1
173,,fjUSIRwwU0,1
174,,4GNWtTbEXA,1
175,,continuous,1
176,,tracking,1
177,,victims,1
178,,far,1
179,,PRWNxH0msm,1
180,,PxKYifmNlU,1
181,,4M,1
182,,sophisticated,1
183,,drainers,1
184,,nearly,1
185,,4k,1
186,,fallen,1
187,,attacks,1
188,,past,1
189,,month,1
190,,qyNQthr7Wk,1
191,,fund,1
192,,quickly,1
193,,4tIwZB6fvO,1
194,,0x6369A84a02387Ce6db26B96Edd140174CA3374e9,1
195,,0xd3461039d812315090a0a671eb89446058316bf7,1
196,,correct,1
197,,0xD346F77Dd1D5714d9D51f39F082181c75Dcc6Bf7,1
198,,copying,1
199,,contaminated,1
200,,transfer,1
201,,history,1
202,,dPL34PSr4Y,1
