,profiles,kw,count
0,rebootgg_,RT,11
1,,PlayBattlePlan,6
2,,brycent_,4
3,,co,4
4,,first,3
5,,NFTbark,3
6,,game,3
7,,pixelvault_,3
8,,best,3
9,,week,3
10,,Ledger,2
11,,win,2
12,,rebootgg_,2
13,,Gfunkera86,2
14,,arena,2
15,,BP,2
16,,gg,2
17,,Web3,1
18,,Games,1
19,,Massive,1
20,,Potential,1
21,,partnership,1
22,,proud,1
23,,announce,1
24,,L,1
25,,inching,1
26,,closer,1
27,,elusive,1
28,,got,1
29,,including,1
30,,row,1
31,,kick,1
32,,long,1
33,,climb,1
34,,early,1
35,,learning,1
36,,curve,1
37,,finally,1
38,,consiste,1
39,,0xMushy,1
40,,time,1
41,,start,1
42,,paying,1
43,,attention,1
44,,R1WxWQzARa,1
45,,Imagine,1
46,,TFT,1
47,,meets,1
48,,NFTs,1
49,,Th,1
50,,back,1
51,,Check,1
52,,BATTLE,1
53,,PLAN,1
54,,FACEIT,1
55,,GAMES,1
56,,COACH,1
57,,zCGNFh1nfy,1
58,,Slowly,1
59,,one,1
60,,games,1
61,,market,1
62,,beyond,1
63,,Late,1
64,,night,1
65,,Grind,1
66,,COME,1
67,,HANG,1
68,,Twitch,1
69,,tv,1
70,,brycent,1
71,,EPS3tXKLpS,1
72,,Incredible,1
73,,gameplay,1
74,,using,1
75,,GG,1
76,,prep,1
77,,thing,1
78,,primetime,1
79,,Nearly,1
80,,1M,1
81,,tx,1
82,,arbitrum,1
83,,playbattleplan,1
84,,Season,1
85,,One,1
86,,pure,1
87,,adrenaline,1
88,,players,1
89,,stepped,1
90,,excited,1
91,,welcome,1
92,,byswickie,1
93,,creative,1
94,,partner,1
95,,amp,1
96,,community,1
97,,ambassador,1
98,,Moonbeams,1
99,,Lakers,1
100,,show,1
101,,always,1
102,,truly,1
103,,elite,1
104,,ape,1
105,,yIIGJOuZu0,1
106,,Zeneca,1
107,,burned,1
108,,Pixel,1
109,,Vault,1
110,,Planets,1
111,,dust,1
112,,tokens,1
113,,hell,1
114,,journey,1
115,,minted,1
116,,Punks,1
117,,Comic,1
118,,day,1
119,,far,1
120,,yet,1
121,,previous,1
122,,five,1
123,,wins,1
124,,BIG,1
125,,shoutout,1
126,,beijingdou,1
127,,0xRDL,1
