,profiles,kw,count
0,rektfencer,co,27
1,,PYTH,14
2,,SAVM,11
3,,wallet,10
4,,airdrop,7
5,,thread,7
6,,tokens,6
7,,SOL,4
8,,TIA,4
9,,airdrops,4
10,,Follow,4
11,,make,4
12,,SatoshiVM,4
13,,early,4
14,,testnet,4
15,,stakers,4
16,,soon,4
17,,chance,4
18,,RT,3
19,,buying,3
20,,IDO,3
21,,gave,3
22,,MC,3
23,,worth,3
24,,launch,3
25,,orca_so,3
26,,RaydiumProtocol,3
27,,Join,3
28,,future,3
29,,Bookmark,3
30,,tweet,3
31,,Go,3
32,,address,3
33,,eco,3
34,,Download,3
35,,buy,3
36,,drop,3
37,,Want,3
38,,SUI,3
39,,Cost,3
40,,made,2
41,,millions,2
42,,1000x,2
43,,wanna,2
44,,year,2
45,,one,2
46,,Missed,2
47,,100x,2
48,,use,2
49,,miss,2
50,,Liked,2
51,,rektfencer,2
52,,telegram,2
53,,channel,2
54,,Retweet,2
55,,first,2
56,,rank,2
57,,Paste,2
58,,Next,2
59,,line,2
60,,massive,2
61,,INJ,2
62,,staking,2
63,,guide,2
64,,Buy,2
65,,CEX,2
66,,DEX,2
67,,network,2
68,,phantom,2
69,,got,2
70,,user,2
71,,friendly,2
72,,stake,2
73,,Stakers,2
74,,minutes,2
75,,portfolio,2
76,,Gonna,2
77,,might,2
78,,test,2
79,,Click,2
80,,Testnet,2
81,,project,2
82,,money,2
83,,crypto,2
84,,key,2
85,,Zero,2
86,,clicks,2
87,,nobrainflip,1
88,,Many,1
89,,ETH,1
90,,BNB,1
91,,cheap,1
92,,ARB,1
93,,OP,1
94,,ANALOS,1
95,,10x,1
96,,turn,1
97,,0xPepesso,1
98,,listed,1
99,,reached,1
100,,150M,1
101,,today,1
102,,team,1
103,,hints,1
104,,testers,1
105,,stating,1
106,,hav,1
107,,Someone,1
108,,bought,1
109,,300k,1
110,,transaction,1
111,,know,1
112,,something,1
113,,RhGdpmOikf,1
114,,lottery,1
115,,could've,1
116,,6x,1
117,,covered,1
118,,extensively,1
119,,writing,1
120,,free,1
121,,upcoming,1
122,,pxyvN5qH3q,1
123,,OFOhcWhYgy,1
124,,Ranking,1
125,,gain,1
126,,insight,1
127,,position,1
128,,among,1
129,,important,1
130,,monitor,1
131,,jjScBGFOZi,1
132,,Discover,1
133,,based,1
134,,staked,1
135,,amount,1
136,,7a3y3lRH7W,1
137,,Cosmos,1
138,,already,1
139,,experienced,1
140,,heat,1
141,,start,1
142,,MNbdmLapA4,1
143,,another,1
144,,100M,1
145,,less,1
146,,hours,1
147,,lol,1
148,,Wen,1
149,,1B,1
150,,gtN01BzobN,1
151,,Deposit,1
152,,preferred,1
153,,Copy,1
154,,Withdraw,1
155,,purchased,1
156,,Alternatively,1
157,,exchange,1
158,,78AqoM4I58,1
159,,supports,1
160,,Solana,1
161,,solflare_wallet,1
162,,okxweb3,1
163,,pick,1
164,,interface,1
165,,Gx10GOOvfa,1
166,,Future,1
167,,Potential,1
168,,Airdrops,1
169,,may,1
170,,include,1
171,,monad_xyz,1
172,,MONAD,1
173,,Parcl,1
174,,PRCL,1
175,,DriftProtocol,1
176,,DRIFT,1
177,,Blast_L2,1
178,,BLAST,1
179,,marginfi,1
180,,MRGN,1
181,,ZetaMarkets,1
182,,ZETA,1
183,,Kamino_Finance,1
184,,KAM,1
185,,ATOM,1
186,,pioneered,1
187,,trend,1
188,,horizon,1
189,,Stake,1
190,,juicy,1
191,,begin,1
192,,Already,1
193,,bookmarked,1
194,,Great,1
195,,follow,1
196,,LintonWorm,1
197,,without,1
198,,help,1
199,,exist,1
200,,OuRz6vsSfw,1
201,,month,1
202,,tokenless,1
203,,projects,1
204,,tech,1
205,,4cMsELZUIf,1
206,,Okay,1
207,,FOMOing,1
208,,cuz,1
209,,mX3OawBkyb,1
210,,Turned,1
211,,7K,1
212,,450K,1
213,,last,1
214,,effortlessly,1
215,,secret,1
216,,mastering,1
217,,art,1
218,,building,1
219,,create,1
220,,bull,1
221,,run,1
222,,retweet,1
223,,faster,1
224,,YKonEseiAl,1
225,,catch,1
226,,everyone,1
227,,sleeping,1
228,,seize,1
229,,discover,1
230,,new,1
231,,invest,1
232,,ones,1
233,,potential,1
234,,List,1
235,,skyrocket,1
236,,pxyvN5reSY,1
237,,Useful,1
238,,Links,1
239,,Website,1
240,,bOwocKRdsg,1
241,,Docs,1
242,,PIPo0oHdRD,1
243,,Discord,1
244,,vN7V4EUo9G,1
245,,GitHub,1
246,,Bu6dMkac6Z,1
247,,Explorer,1
248,,5OociFBCEb,1
249,,Official,1
250,,Bridge,1
251,,ljTMqRZls4,1
252,,oefZi0d0Wy,1
253,,Faucet,1
254,,N1pNr2a23b,1
255,,BTC,1
256,,Increase,1
257,,number,1
258,,Send,1
259,,bitcoins,1
260,,Wait,1
261,,see,1
262,,tBTC,1
263,,appear,1
264,,rri3NedpBF,1
265,,Unisat,1
266,,Z5CwwwIAXY,1
267,,choose,1
268,,Native,1
269,,Segwit,1
270,,Settings,1
271,,Switch,1
272,,Livenet,1
273,,uCKpshbTGD,1
274,,announced,1
275,,snag,1
276,,quick,1
277,,Testnets,1
278,,ARKM,1
279,,CQT,1
280,,APT,1
281,,next,1
282,,huge,1
283,,grab,1
284,,FREE,1
285,,1K,1
286,,10K,1
287,,vPdeqyHKSI,1
288,,jumped,1
289,,APEX,1
290,,train,1
291,,perp,1
292,,time,1
293,,lock,1
294,,gains,1
295,,Dr5P7rPpKk,1
296,,New,1
297,,launching,1
298,,mainnet,1
299,,highly,1
300,,overlooked,1
301,,smash,1
302,,buttons,1
303,,bridge,1
304,,live,1
305,,Cross,1
306,,chain,1
307,,Ethereum,1
308,,Sepolia,1
309,,seamlessly,1
310,,Check,1
