,profiles,kw,count
0,roam_network,amp,5
1,,Roam,3
2,,App,3
3,,optimize,2
4,,network,2
5,,RoamApp,2
6,,Roam2Earn,2
7,,Web3,2
8,,DePIN,2
9,,web3community,2
10,,mobilenetwork,2
11,,co,2
12,,FIRST,2
13,,personal,1
14,,use,1
15,,data,1
16,,helps,1
17,,businesses,1
18,,municipalities,1
19,,infrastructure,1
20,,provide,1
21,,better,1
22,,coverage,1
23,,everyone,1
24,,Telecom,1
25,,Telecommunications,1
26,,bars,1
27,,good,1
28,,connection,1
29,,Uncover,1
30,,hidden,1
31,,truth,1
32,,mobile,1
33,,experience,1
34,,iE93q036cY,1
35,,Join,1
36,,SofiaCryptoMeetup,1
37,,test,1
38,,WORLD,1
39,,try,1
40,,reshape,1
41,,telecoms,1
42,,information,1
43,,zz8kw9TovJ,1
44,,Web3Startup,1
45,,Web3project,1
46,,DePINproject,1
