,profiles,kw,count
0,ryancarson,co,11
1,,founders,4
2,,know,3
3,,free,3
4,,AI,3
5,,single,3
6,,London,2
7,,truly,2
8,,helpful,2
9,,u3VlUYjh2A,2
10,,code,2
11,,school,2
12,,agazdecki,2
13,,acquiredotcom,2
14,,created,2
15,,board,2
16,,directors,2
17,,HN,2
18,,founder,1
19,,need,1
20,,QSBS,1
21,,picture,1
22,,first,1
23,,business,1
24,,going,1
25,,fail,1
26,,six,1
27,,months,1
28,,yet,1
29,,See,1
30,,sales,1
31,,thermometer,1
32,,chart,1
33,,behind,1
34,,Never,1
35,,filled,1
36,,web,1
37,,developer,1
38,,Gill,1
39,,decided,1
40,,married,1
41,,lived,1
42,,EmeRE6YWnN,1
43,,one,1
44,,click,1
45,,tip,1
46,,help,1
47,,LOT,1
48,,value,1
49,,ChatGPT,1
50,,key,1
51,,LLM,1
52,,Context,1
53,,read,1
54,,mind,1
55,,problem,1
56,,laborious,1
57,,type,1
58,,whole,1
59,,career,1
60,,history,1
61,,feelings,1
62,,frustrations,1
63,,questions,1
64,,etc,1
65,,N4fmmJ2JHm,1
66,,anyone,1
67,,found,1
68,,advisors,1
69,,Shoot,1
70,,sentence,1
71,,testimonial,1
72,,add,1
73,,site,1
74,,link,1
75,,back,1
76,,X,1
77,,profile,1
78,,Scex2owIEe,1
79,,believe,1
80,,university,1
81,,high,1
82,,elementary,1
83,,finished,1
84,,gym,1
85,,sucked,1
86,,Gave,1
87,,b9Pd8zMwx4,1
88,,little,1
89,,refresh,1
90,,Hope,1
91,,ThR0lejJUT,1
92,,Whenever,1
93,,run,1
94,,npm,1
95,,install,1
96,,feel,1
97,,feet,1
98,,shoulders,1
99,,giants,1
100,,aHIAi9Wkrv,1
101,,lot,1
102,,fun,1
103,,episode,1
104,,think,1
105,,community,1
106,,might,1
107,,us,1
108,,publicly,1
109,,admit,1
110,,lonely,1
111,,stressed,1
112,,years,1
113,,building,1
114,,companies,1
115,,failure,1
116,,acquisitions,1
117,,transparent,1
118,,team,1
119,,hbeaIeDhJL,1
120,,Morning,1
121,,fan,1
122,,started,1
123,,discussion,1
124,,Show,1
125,,pcLoITGhdl,1
126,,Founders,1
127,,love,1
128,,podcast,1
129,,Real,1
130,,stories,1
131,,trenches,1
132,,Hosted,1
133,,6e1SGTtQig,1
134,,Interesting,1
135,,take,1
136,,time,1
137,,purchases,1
138,,vs,1
139,,MRR,1
140,,Anyone,1
141,,want,1
142,,1m,1
