,profiles,kw,count
0,sandeepnailwal,RT,12
1,,Polygon,7
2,,co,4
3,,polygon,3
4,,Immutable,3
5,,0xPolygon,3
6,,latest,2
7,,powered,2
8,,still,2
9,,th,2
10,,TodayInPolygon,2
11,,transactions,2
12,,USDM,2
13,,available,2
14,,zkEVM,2
15,,NFT,2
16,,Tokenization,2
17,,Swoosh,2
18,,0xPolygonDeFi,1
19,,waiting,1
20,,weekly,1
21,,DeFi,1
22,,Roundup,1
23,,Grab,1
24,,popcorn,1
25,,take,1
26,,look,1
27,,ha,1
28,,cool,1
29,,domain,1
30,,holders,1
31,,Token,1
32,,gated,1
33,,Group,1
34,,Messaging,1
35,,App,1
36,,unstoppableweb,1
37,,pushprotocol,1
38,,itsarbsy,1
39,,platform,1
40,,call,1
41,,web3,1
42,,home,1
43,,Team,1
44,,use,1
45,,ETH,1
46,,quite,1
47,,bit,1
48,,BNB,1
49,,ADA,1
50,,included,1
51,,cuz,1
52,,NEW,1
53,,highest,1
54,,amount,1
55,,LayerZero_Labs,1
56,,19M,1
57,,compared,1
58,,blockchains,1
59,,q,1
60,,jackmelnick_,1
61,,PoS,1
62,,soon,1
63,,CurveFinance,1
64,,LP,1
65,,going,1
66,,crazy,1
67,,onboarding,1
68,,topnotch,1
69,,games,1
70,,daily,1
71,,basis,1
72,,Coolcats,1
73,,Powered,1
74,,DIMO_Network,1
75,,DIMO,1
76,,built,1
77,,date,1
78,,network,1
79,,generated,1
80,,register,1
81,,vehicles,1
82,,manage,1
83,,_bfarmer,1
84,,wrote,1
85,,Optimium,1
86,,AnyTrust,1
87,,arguing,1
88,,systems,1
89,,equivalent,1
90,,security,1
91,,sidechain,1
92,,SDnxfNriBH,1
93,,Today,1
94,,BIG,1
95,,news,1
96,,minute,1
97,,tNzmd54LDL,1
98,,badmadrobots,1
99,,committed,1
100,,building,1
101,,AAA,1
102,,gaming,1
103,,talent,1
104,,worked,1
105,,yo,1
106,,trident_of_eth,1
107,,6m,1
108,,sales,1
109,,volume,1
110,,fading,1
111,,anon,1
112,,O4cjWDjlY6,1
113,,0xPolygonLabs,1
114,,Spotlight,1
115,,Series,1
116,,highlighting,1
117,,projects,1
118,,spearheading,1
119,,trillion,1
120,,wave,1
121,,firs,1
122,,0xanimated,1
123,,dominating,1
124,,single,1
125,,metric,1
126,,vs,1
127,,EVM,1
128,,chains,1
129,,even,1
130,,competition,1
131,,point,1
132,,lmfao,1
133,,note,1
134,,ran,1
135,,8000x,1
136,,cheaper,1
137,,Ethereum,1
138,,wonder,1
139,,compare,1
140,,DA,1
141,,solutions,1
142,,Celestia,1
143,,rainyreece_,1
144,,allow,1
145,,trading,1
146,,Marketplaces,1
147,,381k,1
148,,dot,1
149,,IDs,1
150,,minted,1
151,,update,1
